Motion Through Fluids Experiment Thu, Feb 06, 2020 3:10 PM
Time(sec)	Position(mm)
0.045	3.955
0.095	3.955
0.145	3.409
0.195	3.409
0.245	2.862
0.295	2.315
0.345	2.315
0.395	1.222
0.445	1.222
0.495	17.624
0.545	20.904
0.596	24.185
0.645	28.012
0.695	31.292
0.745	34.573
0.795	38.400
0.845	41.681
0.895	44.961
0.945	48.788
0.995	52.069
1.045	55.896
1.095	59.176
1.145	62.457
1.195	65.737
1.245	69.564
1.295	72.845
1.345	76.125
1.395	79.406
1.445	82.686
1.495	85.967
1.545	89.247
1.595	92.528
1.645	96.355
1.695	99.635
1.745	103.463
1.795	106.743
1.845	110.570
1.895	113.851
1.945	117.678
1.995	120.958
2.045	124.786
2.095	128.066
2.145	131.893
2.195	135.174
2.245	139.001
2.295	142.281
2.345	146.109
2.395	149.389
2.445	153.216
2.496	156.497
2.545	160.324
2.595	163.604
2.645	167.432
2.695	170.712
2.745	174.539
2.795	178.366
2.845	181.647
2.895	185.474
2.945	188.755
2.995	192.035
3.045	195.862
3.095	199.689
3.146	202.970
3.195	206.250
3.245	210.078
3.295	213.358
3.345	217.185
3.395	219.919
3.445	223.746
3.495	227.027
3.545	230.854
3.595	234.134
3.645	237.962
3.696	241.242
3.745	245.069
3.795	248.350
3.845	252.177
3.896	255.457
3.945	0.000
3.995	0.000
4.045	0.000
4.095	0.000
4.145	0.000
4.195	0.000
4.245	0.000
4.295	0.000
4.345	0.000
4.395	0.000
4.445	0.000
4.495	0.000
4.545	0.000
4.595	0.000
4.645	0.000
4.695	0.000
4.745	0.000
4.795	0.000
4.846	0.000
4.895	0.000
4.945	0.000
4.995	0.000
5.045	0.000
5.096	0.000
5.145	0.000
5.195	0.000
5.245	0.000
5.295	0.000
5.345	0.000
5.395	0.000
5.445	0.000
5.496	0.000
5.545	0.000
5.595	0.000
5.645	0.000
5.695	0.000
5.745	0.000
5.795	0.000
5.845	0.000
5.895	0.000
5.945	0.000
5.995	0.000
