Motion Through Fluids Experiment Thu, Feb 06, 2020 3:11 PM
Time(sec)	Position(mm)
0.038	3.409
0.088	1.768
0.138	1.222
0.188	1.222
0.238	26.372
0.288	29.652
0.338	32.933
0.388	36.760
0.438	40.040
0.488	43.321
0.538	47.148
0.588	50.428
0.638	53.709
0.688	56.989
0.738	60.270
0.788	64.097
0.838	67.378
0.888	70.658
0.938	74.485
0.988	77.766
1.038	81.593
1.088	84.873
1.138	88.154
1.188	91.981
1.239	95.261
1.288	98.542
1.338	102.369
1.388	105.650
1.438	109.477
1.488	112.757
1.538	116.584
1.588	119.865
1.638	123.145
1.688	126.973
1.738	130.253
1.788	134.080
1.838	137.361
1.888	141.188
1.938	144.468
1.988	147.749
2.038	151.576
2.088	154.856
2.138	158.684
2.188	161.964
2.238	165.791
2.288	169.072
2.338	172.899
2.388	176.179
2.438	179.460
2.488	183.287
2.538	186.568
2.588	190.395
2.638	193.675
2.688	197.502
2.738	200.783
2.788	204.063
2.838	207.891
2.888	211.171
2.938	214.998
2.988	218.279
3.038	222.106
3.088	224.840
3.138	228.667
3.188	231.947
3.238	235.775
3.288	239.055
3.338	242.882
3.388	246.163
3.438	249.443
3.488	253.270
3.538	0.000
3.588	0.000
3.638	0.000
3.688	0.000
3.738	0.000
3.788	0.000
3.838	0.000
3.888	0.000
3.938	0.000
3.988	0.000
4.038	0.000
4.088	0.000
4.138	0.000
4.188	0.000
4.238	0.000
4.288	0.000
4.338	0.000
4.388	0.000
4.438	0.000
4.488	0.000
4.538	0.000
4.588	0.000
4.638	0.000
4.688	0.000
4.738	0.000
4.788	0.000
4.838	0.000
4.888	0.000
4.939	0.000
4.988	0.000
5.038	0.000
5.088	0.000
5.138	0.000
5.188	0.000
5.238	0.000
5.288	0.000
5.338	0.000
5.388	0.000
5.438	0.000
5.488	0.000
5.538	0.000
5.588	0.000
5.638	0.000
5.688	0.000
5.738	0.000
5.788	0.000
5.838	0.000
5.888	0.000
5.938	0.000
5.988	0.000
