Motion Through Fluids Experiment Thu, Feb 06, 2020 3:11 PM
Time(sec)	Position(mm)
0.048	37.853
0.098	41.134
0.148	44.961
0.198	48.241
0.248	51.522
0.298	55.349
0.348	59.176
0.398	62.457
0.448	65.737
0.498	69.564
0.548	73.392
0.598	76.672
0.649	79.953
0.698	83.780
0.748	87.607
0.798	90.887
0.848	94.715
0.898	97.995
0.948	101.822
0.998	105.103
1.048	108.930
1.098	112.210
1.148	116.038
1.198	119.318
1.248	123.145
1.298	126.426
1.348	130.253
1.398	133.533
1.448	137.361
1.498	140.641
1.548	144.468
1.598	148.296
1.648	151.576
1.698	155.403
1.748	158.684
1.798	162.511
1.848	165.791
1.898	169.619
1.948	172.899
1.998	176.726
2.048	180.553
2.098	183.834
2.148	187.661
2.198	190.942
2.248	194.769
2.298	198.049
2.348	201.876
2.399	205.157
2.448	208.984
2.498	212.265
2.548	215.545
2.598	219.372
2.648	222.653
2.698	226.480
2.748	230.307
2.798	233.588
2.848	237.415
2.898	240.695
2.948	244.522
2.998	247.803
3.048	251.630
3.098	254.911
3.148	0.000
3.198	0.000
3.248	0.000
3.298	0.000
3.348	0.000
3.398	0.000
3.448	0.000
3.498	0.000
3.548	0.000
3.598	0.000
3.648	0.000
3.698	0.000
3.748	0.000
3.798	0.000
3.848	0.000
3.898	0.000
3.949	0.000
3.998	0.000
4.048	0.000
4.099	0.000
4.148	0.000
4.198	0.000
4.248	0.000
4.298	0.000
4.348	0.000
4.398	0.000
4.448	0.000
4.498	0.000
4.548	0.000
4.598	0.000
4.648	0.000
4.698	0.000
4.748	0.000
4.798	0.000
4.848	0.000
4.898	0.000
4.948	0.000
4.998	0.000
5.048	0.000
5.098	0.000
5.148	0.000
5.198	0.000
5.248	0.000
5.299	0.000
5.348	0.000
5.398	0.000
5.448	0.000
5.498	0.000
5.548	0.000
5.598	0.000
5.648	0.000
5.698	0.000
5.748	0.000
5.798	0.000
5.848	0.000
5.898	0.000
5.948	0.000
5.998	0.000
