Motion Through Fluids Experiment Thu, Feb 06, 2020 3:13 PM
Time(sec)	Position(mm)
0.019	1.222
0.119	0.675
0.169	1.768
0.219	2.315
0.269	1.222
0.319	1.768
0.369	1.768
0.419	24.185
0.469	27.465
0.519	30.746
0.569	34.573
0.619	37.853
0.669	41.681
0.719	44.961
0.769	48.241
0.819	52.069
0.869	55.896
0.919	59.176
0.969	62.457
1.019	66.284
1.069	69.564
1.119	73.392
1.169	76.672
1.219	80.499
1.269	83.780
1.319	87.607
1.369	90.887
1.419	94.715
1.469	97.995
1.519	101.822
1.569	105.103
1.619	108.930
1.669	112.210
1.719	116.038
1.769	119.865
1.820	123.145
1.869	126.973
1.919	130.253
1.969	134.080
2.019	137.361
2.069	141.188
2.119	143.922
2.169	147.749
2.219	151.576
2.269	154.856
2.319	158.684
2.369	161.964
2.419	165.791
2.469	169.072
2.519	172.899
2.569	176.726
2.619	180.007
2.670	183.834
2.719	187.114
2.769	190.942
2.819	194.769
2.869	198.049
2.919	201.876
2.969	205.157
3.019	208.984
3.069	212.265
3.119	216.092
3.169	219.919
3.219	223.199
3.269	227.027
3.319	230.307
3.369	234.134
3.419	237.415
3.469	241.242
3.519	245.069
3.569	248.350
3.619	252.177
3.669	255.457
3.719	0.000
3.769	0.000
3.819	0.000
3.869	0.000
3.919	0.000
3.969	0.000
4.019	0.000
4.069	0.000
4.119	0.000
4.169	0.000
4.219	0.000
4.269	0.000
4.319	0.000
4.369	0.000
4.419	0.000
4.469	0.000
4.519	0.000
4.569	0.000
4.619	0.000
4.669	0.000
4.719	0.000
4.769	0.000
4.819	0.000
4.870	0.000
4.919	0.000
4.969	0.000
5.019	0.000
5.069	0.000
5.119	0.000
5.169	0.000
5.219	0.000
5.269	0.000
5.319	0.000
5.369	0.000
5.419	0.000
5.469	0.000
5.520	0.000
5.569	0.000
5.619	0.000
5.669	0.000
5.719	0.000
5.769	0.000
5.819	0.000
5.869	0.000
5.919	0.000
5.969	0.000
6.019	0.000
