Motion Through Fluids Experiment Thu, Feb 06, 2020 3:12 PM
Time(sec)	Position(mm)
0.023	3.955
0.072	3.955
0.122	3.409
0.172	1.768
0.222	15.437
0.272	18.717
0.322	21.998
0.372	25.278
0.422	28.559
0.473	31.839
0.522	35.666
0.572	38.947
0.622	42.774
0.672	46.055
0.722	49.882
0.772	53.162
0.822	56.443
0.872	60.270
0.922	63.550
0.972	67.378
1.022	70.658
1.072	74.485
1.122	77.766
1.172	81.593
1.222	84.873
1.272	88.701
1.322	91.981
1.372	95.808
1.422	99.089
1.472	102.916
1.522	106.743
1.572	110.024
1.622	113.851
1.672	117.131
1.722	120.958
1.772	124.239
1.822	128.066
1.872	131.347
1.922	135.174
1.972	138.454
2.022	142.281
2.072	145.562
2.122	149.389
2.172	152.670
2.222	156.497
2.272	159.777
2.322	163.604
2.372	166.885
2.422	170.712
2.473	174.539
2.522	177.820
2.572	181.647
2.622	184.927
2.672	188.208
2.723	192.035
2.772	195.316
2.822	199.143
2.872	202.423
2.922	206.250
2.972	210.078
3.022	213.358
3.072	216.638
3.122	220.466
3.172	223.746
3.222	227.027
3.272	230.854
3.322	234.134
3.372	237.962
3.422	241.242
3.472	245.069
3.523	248.350
3.572	252.177
3.622	254.911
3.672	0.000
3.722	0.000
3.772	0.000
3.822	0.000
3.872	0.000
3.922	0.000
3.972	0.000
4.022	0.000
4.072	0.000
4.122	0.000
4.172	0.000
4.222	0.000
4.272	0.000
4.322	0.000
4.372	0.000
4.422	0.000
4.472	0.000
4.522	0.000
4.572	0.000
4.622	0.000
4.672	0.000
4.722	0.000
4.772	0.000
4.822	0.000
4.872	0.000
4.922	0.000
4.972	0.000
5.022	0.000
5.072	0.000
5.122	0.000
5.172	0.000
5.222	0.000
5.272	0.000
5.322	0.000
5.372	0.000
5.422	0.000
5.472	0.000
5.522	0.000
5.572	0.000
5.622	0.000
5.672	0.000
5.722	0.000
5.772	0.000
5.822	0.000
5.872	0.000
5.922	0.000
5.972	0.000
