Motion Through Fluids Experiment Thu, Feb 06, 2020 2:11 PM
Time(sec)	Position(mm)
0.049	1.222
0.099	1.222
0.149	1.768
0.199	2.315
0.249	2.315
0.299	2.862
0.349	3.409
0.399	3.955
0.449	4.502
0.500	5.049
0.549	5.595
0.599	6.142
0.649	6.689
0.699	7.236
0.749	8.329
0.799	8.876
0.849	9.423
0.900	9.969
0.949	10.516
0.999	11.063
1.049	12.156
1.099	12.156
1.149	13.250
1.199	13.797
1.249	14.343
1.299	14.890
1.349	15.984
1.400	15.984
1.449	17.077
1.499	17.624
1.549	18.171
1.599	18.717
1.649	19.264
1.699	19.811
1.749	20.358
1.799	20.904
1.849	21.998
1.900	22.545
1.949	23.091
1.999	23.638
2.049	24.185
2.099	24.732
2.149	25.278
2.199	26.372
2.249	26.918
2.299	27.465
2.349	28.012
2.399	28.559
2.449	29.105
2.499	30.199
2.549	30.746
2.599	31.292
2.649	31.839
2.699	32.386
2.749	32.933
2.799	33.479
2.849	34.026
2.899	34.573
2.949	35.666
2.999	35.666
3.049	36.213
3.099	37.307
3.149	37.853
3.199	38.400
3.250	38.947
3.299	39.494
3.349	40.040
3.399	40.587
3.449	41.134
3.500	42.227
3.549	42.774
3.599	43.321
3.650	43.868
3.699	44.414
3.749	44.961
3.799	45.508
3.849	46.055
3.899	47.148
3.949	47.695
3.999	48.241
4.050	48.788
4.099	49.335
4.149	49.882
4.199	50.428
4.249	50.975
4.299	52.069
4.349	52.615
4.399	53.162
4.449	53.709
4.499	54.256
4.549	54.802
4.599	55.349
4.649	56.443
4.699	56.989
4.749	57.536
4.799	58.083
4.850	58.630
4.899	59.176
4.949	59.723
4.999	60.817
5.049	61.363
5.099	61.910
5.149	62.457
5.199	63.004
5.249	63.550
5.299	64.097
5.349	65.191
5.399	65.737
5.449	66.284
5.499	66.831
5.549	67.378
5.600	67.924
5.649	68.471
5.749	69.564
5.849	71.205
5.899	71.751
5.950	72.298
5.999	72.845
6.049	73.392
6.100	73.938
6.150	74.485
6.200	75.579
6.249	76.125
6.299	76.672
6.350	77.219
6.399	77.766
6.449	78.312
6.499	78.859
6.549	79.406
6.599	79.953
6.649	81.046
6.699	81.593
6.750	82.140
6.799	82.686
6.849	83.233
6.899	83.780
6.949	84.327
6.999	84.873
7.049	85.967
7.099	86.514
7.149	87.060
7.199	87.607
7.250	88.154
7.299	88.701
7.349	89.247
7.400	89.794
7.449	90.341
7.500	91.434
7.550	91.981
7.599	92.528
7.649	93.074
7.699	93.621
7.749	94.168
7.799	94.715
7.849	95.261
7.899	96.355
7.950	96.902
7.999	97.448
8.049	97.995
8.099	98.542
8.149	99.089
8.199	99.635
8.249	100.182
8.299	100.729
8.349	101.822
8.399	102.369
8.449	102.916
8.499	103.463
8.549	104.009
8.599	104.556
8.649	105.650
8.699	106.196
8.749	106.743
8.799	107.290
8.850	107.837
8.899	108.383
8.949	108.930
9.000	109.477
9.049	110.570
9.099	111.117
9.149	111.664
9.199	112.210
9.249	112.757
9.299	113.304
9.349	113.851
9.399	114.397
9.449	114.944
