Motion Through Fluids Experiment Thu, Feb 06, 2020 2:15 PM
Time(sec)	Position(mm)
0.002	7.782
0.102	7.782
0.152	8.329
0.202	8.329
0.252	8.329
0.302	8.876
0.352	8.876
0.402	9.423
0.453	9.423
0.503	9.969
0.552	9.969
0.602	10.516
0.652	11.063
0.702	11.610
0.752	12.703
0.802	13.250
0.852	13.797
0.902	14.343
0.952	14.890
1.002	15.437
1.052	15.984
1.102	17.077
1.152	17.624
1.202	18.171
1.252	18.717
1.302	19.264
1.352	19.811
1.403	20.358
1.453	20.904
1.502	21.451
1.552	22.545
1.602	23.091
1.652	23.638
1.702	24.185
1.752	24.732
1.802	25.278
1.852	25.825
1.902	26.918
1.952	27.465
2.003	28.012
2.052	28.559
2.102	29.105
2.152	29.652
2.202	30.199
2.252	31.292
2.302	31.839
2.352	32.386
2.402	32.933
2.453	33.479
2.502	34.026
2.552	34.573
2.602	35.120
2.652	36.213
2.702	36.760
2.752	37.307
2.803	37.853
2.852	38.400
2.903	38.947
2.952	39.494
3.002	40.587
3.052	41.134
3.102	41.681
3.152	42.227
3.203	42.774
3.253	43.321
3.302	43.868
3.352	44.414
3.402	45.508
3.452	46.055
3.502	46.601
3.552	47.148
3.602	47.695
3.652	48.241
3.702	48.788
3.752	49.335
3.802	49.882
3.852	50.428
3.902	51.522
3.952	52.069
4.002	52.615
4.052	53.162
4.102	53.709
4.152	54.256
4.202	54.802
4.252	55.349
4.302	55.896
4.352	56.989
4.402	57.536
4.452	58.083
4.502	58.630
4.552	59.176
4.602	59.723
4.652	60.270
4.702	60.817
4.752	61.910
4.802	62.457
4.852	63.004
4.902	63.550
4.952	64.097
5.002	64.644
5.052	65.191
5.102	65.737
5.152	66.831
5.202	66.831
5.252	67.924
5.302	68.471
5.352	69.018
5.402	69.564
5.452	70.111
5.503	70.658
5.552	71.205
5.602	72.298
5.652	72.845
5.702	73.392
5.752	73.938
5.803	74.485
5.853	75.032
5.902	75.579
5.952	76.672
6.002	77.219
6.052	77.766
6.102	78.312
6.152	78.859
6.202	79.406
6.252	79.953
6.302	80.499
6.352	81.593
6.403	82.140
6.452	82.686
6.502	83.233
6.552	83.780
6.602	84.327
6.652	84.873
6.702	85.420
6.752	85.967
6.802	87.060
6.852	87.060
6.902	88.154
6.952	88.701
7.002	89.247
7.052	89.794
7.102	90.341
7.153	90.887
7.203	91.434
7.252	91.981
7.302	93.074
7.352	93.621
7.402	94.168
7.452	94.715
7.502	95.261
7.552	95.808
7.602	96.355
7.652	96.902
7.702	97.448
7.752	98.542
7.802	99.089
7.852	99.635
7.902	100.182
7.952	100.729
8.003	101.276
8.052	101.822
8.102	102.369
8.152	102.916
8.202	104.009
8.252	104.556
8.302	105.103
8.352	105.650
8.402	106.196
8.452	106.743
8.502	107.290
8.552	107.837
8.602	108.383
8.652	109.477
8.702	110.024
8.753	110.570
8.802	111.117
8.852	111.664
8.902	112.210
8.952	112.757
9.002	113.304
9.052	114.397
9.102	114.944
9.152	115.491
9.202	116.038
9.252	116.584
9.302	117.131
9.352	117.678
9.402	118.225
9.452	119.318
9.502	119.865
9.552	120.412
9.602	120.958
9.652	121.505
9.702	122.052
9.752	122.599
9.802	123.145
9.852	124.239
9.902	124.239
9.952	125.332
10.002	125.879
10.052	126.426
10.102	126.973
10.152	127.519
10.202	128.066
10.252	128.613
10.302	129.160
10.352	129.706
10.402	130.800
10.452	131.347
10.502	131.893
10.552	132.440
10.602	132.987
10.652	133.533
10.702	134.080
10.752	134.627
10.802	135.174
10.852	136.267
10.902	136.814
10.953	137.361
11.002	137.907
11.052	138.454
11.102	139.001
11.153	139.548
11.202	140.094
11.252	140.641
11.302	141.735
11.352	142.281
11.402	142.828
11.452	143.375
11.502	143.922
11.553	144.468
11.602	145.015
11.652	145.562
11.702	146.109
11.752	147.202
11.802	147.749
11.852	148.296
