Motion Through Fluids Experiment Thu, Feb 06, 2020 2:05 PM
Time(sec)	Position(mm)
0.035	3.409
0.085	4.502
0.135	5.595
0.185	7.236
0.235	8.329
0.285	9.423
0.335	10.516
0.385	12.156
0.435	13.250
0.485	14.890
0.535	15.984
0.585	17.077
0.635	18.717
0.685	19.811
0.735	20.904
0.785	22.545
0.835	23.638
0.885	25.278
0.935	26.372
0.985	27.465
1.035	29.105
1.085	30.199
1.136	31.292
1.185	32.933
1.235	34.026
1.285	35.666
1.335	36.760
1.385	37.853
1.435	39.494
1.485	40.587
1.535	41.681
1.585	43.321
1.636	44.414
1.685	45.508
1.735	47.148
1.785	48.241
1.835	49.882
1.885	50.975
1.935	52.069
1.985	53.709
2.035	54.802
2.085	56.443
2.135	57.536
2.185	58.630
2.236	60.270
2.285	61.363
2.335	62.457
2.385	64.097
2.435	65.191
2.485	66.831
2.535	67.924
2.585	69.018
2.635	70.111
2.685	71.751
2.735	72.845
2.785	74.485
2.835	75.579
2.886	76.672
2.935	78.312
2.985	79.406
3.035	81.046
3.085	82.140
3.135	83.233
3.185	84.873
3.235	85.967
3.285	87.607
3.335	88.701
3.385	89.794
3.435	91.434
3.485	92.528
3.535	93.621
3.585	95.261
3.635	96.355
3.685	97.995
3.735	99.089
3.785	100.182
3.835	101.822
3.885	102.916
3.935	104.009
3.985	105.650
4.035	106.743
4.085	108.383
4.135	109.477
4.185	110.570
4.235	112.210
4.285	113.304
4.335	114.397
4.385	116.038
4.435	117.131
4.485	118.225
4.535	119.865
4.585	120.958
4.635	122.599
4.686	123.692
4.735	124.786
4.785	125.879
4.835	127.519
4.885	128.613
4.936	130.253
4.985	131.347
5.035	132.440
5.085	134.080
5.135	135.174
5.185	136.814
5.236	137.907
5.285	139.001
5.335	140.641
5.385	141.735
5.435	142.828
5.485	144.468
5.536	145.562
5.585	146.655
5.635	148.296
5.685	149.389
5.735	150.483
5.785	152.123
5.835	153.216
5.885	154.856
5.935	155.950
5.985	157.043
6.035	158.684
6.085	159.777
6.135	160.871
6.185	162.511
6.235	163.604
6.285	164.698
6.335	166.338
6.385	167.432
6.435	169.072
6.485	170.165
6.535	171.259
6.585	172.899
6.635	173.992
6.685	175.086
6.735	176.726
6.785	177.820
6.835	179.460
6.885	180.553
6.935	181.647
6.985	183.287
7.035	184.381
7.085	185.474
7.135	187.114
7.185	188.208
7.235	189.848
7.285	190.942
7.335	192.035
7.385	193.675
7.435	194.769
7.485	195.862
7.535	197.502
7.585	198.596
7.635	199.689
7.685	201.330
7.735	202.423
7.785	203.517
7.835	204.610
7.885	206.250
7.935	207.344
7.985	208.437
8.035	210.078
8.085	211.171
8.135	212.265
8.185	213.905
8.235	214.998
8.285	216.092
8.335	217.732
8.386	218.825
8.435	219.919
8.485	221.012
8.535	222.653
8.585	223.746
8.635	224.840
8.685	225.933
8.735	227.573
8.785	228.667
8.835	229.760
8.885	230.854
8.935	232.494
8.985	233.588
9.035	234.681
9.085	235.775
9.136	236.868
9.185	237.962
9.235	239.602
9.285	240.695
9.335	241.789
9.386	242.882
9.435	243.976
9.486	245.069
9.536	246.163
9.585	247.256
9.635	248.350
9.685	249.443
9.735	250.537
9.785	251.630
9.835	252.724
9.886	253.817
9.935	254.364
9.985	254.911
