Motion Through Fluids Experiment Thu, Feb 06, 2020 1:57 PM
Time(sec)	Position(mm)
0.032	29.652
0.082	31.839
0.132	34.026
0.182	36.213
0.232	38.400
0.282	40.587
0.332	42.774
0.382	44.961
0.432	47.148
0.482	49.335
0.532	51.522
0.582	53.709
0.632	55.896
0.682	58.083
0.732	60.270
0.782	62.457
0.832	64.644
0.882	66.831
0.932	69.018
0.982	71.205
1.032	73.392
1.082	75.579
1.132	77.766
1.182	79.953
1.232	82.140
1.282	84.327
1.332	86.514
1.382	88.701
1.433	90.887
1.482	93.074
1.532	95.261
1.582	97.448
1.632	99.635
1.682	101.822
1.732	104.009
1.783	106.196
1.832	108.383
1.882	110.570
1.932	112.210
1.982	114.397
2.032	117.131
2.082	118.771
2.132	120.958
2.182	123.145
2.232	125.332
2.282	127.519
2.332	129.706
2.382	131.893
2.432	134.080
2.482	136.267
2.532	138.454
2.582	140.641
2.632	142.828
2.682	145.015
2.732	147.202
2.782	149.389
2.832	151.576
2.882	153.763
2.932	155.950
2.983	158.137
3.032	160.324
3.082	162.511
3.132	164.698
3.182	166.885
3.232	169.072
3.282	171.259
3.332	173.446
3.382	175.633
3.432	177.820
3.482	180.007
3.532	182.194
3.582	184.381
3.633	186.568
3.682	188.755
3.732	190.942
3.782	193.129
3.832	195.316
3.882	197.502
3.932	199.689
3.982	201.876
4.032	203.517
4.082	205.704
4.132	207.891
4.182	210.078
4.232	212.265
4.282	214.452
4.332	216.638
4.382	218.825
4.432	220.466
4.482	222.653
4.532	224.840
4.582	227.027
4.632	228.667
4.682	230.854
4.732	233.041
4.782	235.228
4.832	236.868
4.882	239.055
4.932	241.242
4.982	242.882
5.032	245.069
5.082	247.256
5.132	248.896
5.183	250.537
5.232	252.724
5.282	253.817
5.332	254.911
5.382	0.000
5.432	0.000
5.482	0.000
5.532	0.000
5.582	0.000
5.632	0.000
5.682	0.000
5.732	0.000
5.782	0.000
5.832	0.000
5.882	0.000
5.932	0.000
5.982	0.000
