Motion Through Fluids Experiment Thu, Feb 06, 2020 2:27 PM
Time(sec)	Position(mm)
0.015	3.409
0.115	2.862
0.165	3.409
0.215	2.862
0.265	0.675
0.315	0.000
0.366	0.000
0.415	0.000
0.465	0.000
0.515	0.000
0.566	0.000
0.615	0.000
0.665	0.000
0.715	0.000
0.765	0.000
0.815	0.000
0.865	0.000
0.915	0.000
0.965	0.000
1.015	1.768
1.065	1.222
1.115	0.000
1.166	0.000
1.215	0.000
1.265	0.675
1.316	0.675
1.366	0.000
1.415	0.000
1.465	0.000
1.516	0.000
1.565	0.000
1.615	0.000
1.665	0.000
1.715	0.000
1.765	0.000
1.816	0.000
1.865	0.000
1.915	0.000
1.965	0.000
2.016	0.000
2.065	0.675
2.115	0.675
2.166	1.222
2.215	1.222
2.265	1.222
2.315	1.222
2.365	1.768
2.415	1.768
2.465	1.768
2.516	2.315
2.565	2.862
2.615	2.862
2.665	2.862
2.715	2.862
2.765	3.409
2.815	3.409
2.865	3.409
2.915	3.955
2.965	3.955
3.015	3.955
3.065	4.502
3.116	4.502
3.165	4.502
3.215	5.049
3.265	5.049
3.315	5.049
3.365	5.595
3.415	5.595
3.465	5.595
3.515	6.142
3.565	6.142
3.615	6.142
3.665	6.142
3.815	6.689
3.865	7.236
3.915	7.236
3.966	7.236
4.015	7.236
4.065	7.782
4.115	7.782
4.165	7.782
4.215	8.329
4.265	8.329
4.315	8.329
4.365	8.876
4.415	8.876
4.465	8.876
4.515	8.876
4.565	9.423
4.615	9.423
4.665	9.969
4.715	9.969
4.765	9.969
4.815	9.969
4.865	10.516
4.916	10.516
4.965	11.063
5.015	11.063
5.065	11.063
5.115	11.063
5.165	11.610
5.216	11.610
5.265	11.610
5.315	12.156
5.365	12.156
5.415	12.156
5.465	12.156
5.515	12.703
5.566	12.703
5.615	13.250
5.665	13.250
5.715	13.250
5.765	13.250
5.815	13.797
5.865	13.797
5.915	13.797
5.965	14.343
6.015	14.343
6.066	14.343
6.115	14.890
6.165	14.890
6.215	14.890
6.265	14.890
6.315	15.437
6.365	15.437
6.415	15.437
6.466	15.984
6.515	15.984
6.565	15.984
6.615	16.530
6.665	16.530
6.715	16.530
6.765	17.077
6.815	17.077
6.865	17.077
6.915	17.624
6.966	17.624
7.015	17.624
7.065	17.624
7.115	18.171
7.165	18.171
7.215	18.717
7.265	18.717
7.315	18.717
7.365	18.717
7.416	19.264
7.465	19.264
7.515	19.264
7.565	19.811
7.615	19.811
7.665	19.811
7.715	20.358
7.765	20.358
7.815	20.358
7.865	20.904
7.915	20.904
7.965	20.904
8.015	21.451
8.065	21.451
8.115	21.451
8.165	21.451
8.215	21.998
8.265	21.998
8.315	21.998
8.365	22.545
8.415	22.545
8.465	22.545
8.515	23.091
8.565	23.091
8.615	23.091
8.665	23.091
