Motion Through Fluids Experiment Thu, Feb 06, 2020 2:06 PM
Time(sec)	Position(mm)
0.039	0.675
0.089	1.222
0.139	1.768
0.189	2.315
0.239	2.862
0.289	3.409
0.339	3.955
0.389	5.049
0.439	6.142
0.489	7.236
0.539	8.329
0.589	9.969
0.639	11.063
0.689	12.156
0.739	13.797
0.790	14.890
0.839	15.984
0.889	17.077
0.939	18.717
0.990	19.811
1.039	20.904
1.089	22.545
1.139	23.638
1.189	25.278
1.239	26.372
1.289	27.465
1.339	29.105
1.389	30.199
1.439	31.292
1.489	32.933
1.539	34.026
1.589	35.666
1.639	36.760
1.690	37.853
1.739	39.494
1.789	40.587
1.839	41.681
1.889	43.321
1.939	44.414
1.989	46.055
2.040	47.148
2.089	48.241
2.139	49.882
2.189	50.975
2.239	52.069
2.289	53.709
2.339	54.802
2.389	55.896
2.439	57.536
2.489	58.630
2.539	59.723
2.589	61.363
2.639	62.457
2.689	63.550
2.739	65.191
2.789	66.284
2.839	67.924
2.889	69.018
2.939	70.111
2.989	71.751
3.039	72.845
3.089	73.938
3.139	75.579
3.189	76.672
3.239	78.312
3.289	79.406
3.339	80.499
3.389	81.593
3.439	83.233
3.489	84.327
3.539	85.967
3.590	87.060
3.640	88.154
3.689	89.247
3.739	90.887
3.789	92.528
3.839	93.621
3.890	94.715
3.939	95.808
3.989	97.448
4.039	98.542
4.089	99.635
4.139	101.276
4.189	102.369
4.239	104.009
4.290	105.103
4.339	106.196
4.389	107.837
4.439	108.930
4.489	110.024
4.539	111.664
4.589	112.757
4.639	113.851
4.690	115.491
4.739	116.584
4.789	117.678
4.839	119.318
4.889	120.412
4.939	121.505
4.989	123.145
5.039	124.239
5.090	125.332
5.139	126.973
5.189	128.066
5.239	129.706
5.289	130.800
5.339	131.893
5.389	133.533
5.440	134.627
5.489	135.720
5.539	137.361
5.589	138.454
5.639	139.548
5.689	141.188
5.739	142.281
5.789	143.375
5.839	145.015
5.889	146.109
5.939	147.749
5.989	148.842
6.039	149.936
6.089	151.576
6.139	152.670
6.189	153.763
6.239	155.403
6.289	156.497
6.339	157.590
6.389	159.230
6.440	160.324
6.489	161.964
6.539	163.058
6.590	164.151
6.639	165.791
6.689	166.885
6.739	167.978
6.789	169.619
6.840	170.712
6.889	171.806
6.939	172.899
6.989	174.539
7.039	175.633
7.089	176.726
7.139	178.366
7.189	179.460
7.240	180.553
7.289	182.194
7.339	183.287
7.390	184.381
7.439	186.021
7.489	187.114
7.539	188.208
7.589	189.848
7.639	190.942
7.689	192.582
7.739	193.675
7.789	194.769
7.839	195.862
7.889	197.502
7.940	198.596
7.989	200.236
8.039	201.330
8.089	202.423
8.140	204.063
8.189	205.157
8.239	206.250
8.289	207.891
8.339	208.984
8.390	210.078
8.440	211.718
8.489	212.811
8.539	213.905
8.589	214.998
8.639	216.638
8.689	217.732
8.739	218.825
8.789	220.466
8.839	221.559
8.889	222.653
8.939	223.746
8.989	225.386
9.040	226.480
9.089	227.573
9.139	228.667
9.189	230.307
9.239	231.401
9.290	232.494
9.340	233.588
9.390	234.681
9.439	235.775
9.489	236.868
9.539	238.508
9.590	239.602
9.640	240.695
9.689	241.789
9.739	242.882
9.789	243.976
9.839	245.069
9.889	246.163
9.939	247.256
9.989	248.350
