Motion Through Fluids Experiment Thu, Feb 06, 2020 2:25 PM
Time(sec)	Position(mm)
0.039	0.000
0.139	0.000
0.189	0.000
0.239	0.000
0.289	0.000
0.339	0.000
0.389	0.000
0.439	0.000
0.489	0.000
0.539	0.000
0.589	0.000
0.639	0.000
0.689	0.000
0.739	0.000
0.789	0.000
0.839	0.000
0.889	0.000
0.939	0.000
0.989	0.675
1.039	0.675
1.089	0.675
1.139	1.222
1.189	1.222
1.239	1.222
1.289	1.222
1.339	1.768
1.390	1.768
1.439	1.768
1.489	1.768
1.539	2.315
1.589	2.315
1.639	2.315
1.689	2.862
1.739	2.862
1.789	2.862
1.839	3.409
1.889	3.409
1.939	3.409
1.989	3.955
2.039	3.955
2.089	3.955
2.140	3.955
2.189	3.955
2.239	4.502
2.289	4.502
2.339	4.502
2.389	5.049
2.439	5.049
2.489	5.049
2.539	5.049
2.589	5.595
2.639	5.595
2.689	5.595
2.739	6.142
2.789	6.142
2.839	6.142
2.889	6.142
2.939	6.689
2.989	6.689
3.039	6.689
3.089	7.236
3.140	7.236
3.190	7.236
3.239	7.236
3.289	7.782
3.339	7.782
3.389	7.782
3.439	8.329
3.489	8.329
3.540	8.329
3.589	8.876
3.639	8.876
3.689	8.876
3.739	8.876
3.789	9.423
3.839	9.423
3.889	9.423
3.939	9.969
3.989	9.969
4.040	9.969
4.089	10.516
4.139	10.516
4.189	10.516
4.239	10.516
4.289	11.063
4.339	11.063
4.389	11.063
4.439	11.063
4.490	11.610
4.539	11.610
4.589	11.610
4.639	12.156
4.689	12.156
4.739	12.156
4.789	12.156
4.839	12.703
4.889	12.703
4.939	12.703
4.989	12.703
5.039	13.250
5.089	13.250
5.140	13.250
5.189	13.797
5.239	13.797
5.289	13.797
5.340	14.343
5.389	14.343
5.439	14.343
5.489	14.343
5.539	14.890
5.589	14.890
5.640	14.890
5.689	15.437
5.739	15.437
5.789	15.437
5.839	15.437
5.889	15.984
5.939	15.984
5.989	15.984
6.039	16.530
6.089	16.530
6.139	16.530
6.189	17.077
6.239	17.077
6.289	17.077
6.339	17.077
6.389	17.624
6.439	17.624
6.489	17.624
6.539	18.171
6.590	18.171
6.639	18.171
6.689	18.171
6.739	18.717
6.789	18.717
6.839	18.717
6.889	19.264
6.939	19.264
6.989	19.264
7.039	19.264
7.089	19.811
7.139	19.811
7.190	19.811
7.239	20.358
7.289	20.358
7.339	20.358
7.389	20.358
7.439	20.904
7.489	20.904
7.539	20.904
7.589	21.451
7.639	21.451
7.689	21.451
7.739	21.451
7.789	21.998
7.839	21.998
7.889	21.998
7.939	22.545
7.989	22.545
8.039	22.545
8.090	22.545
8.139	23.091
8.190	23.091
8.239	23.091
8.289	23.091
8.339	23.638
8.389	23.638
8.440	23.638
8.489	24.185
8.539	24.185
8.589	24.185
8.639	24.185
8.690	24.732
8.739	24.732
8.789	24.732
8.839	25.278
8.889	25.278
8.939	25.278
8.989	25.825
9.039	25.825
9.089	25.825
9.139	25.825
9.189	26.372
9.239	26.372
9.289	26.372
9.339	26.918
9.389	26.918
9.439	26.918
9.489	27.465
9.539	27.465
9.589	27.465
9.639	27.465
9.689	28.012
9.739	28.012
9.789	28.012
9.840	28.559
9.889	28.559
9.939	28.559
9.989	28.559
10.039	29.105
10.089	29.105
10.139	29.105
10.189	29.652
10.240	29.652
10.290	29.652
10.339	30.199
10.389	30.199
10.439	30.199
10.489	30.199
10.539	30.746
10.589	30.746
10.639	30.746
10.689	30.746
10.739	31.292
10.789	31.292
10.839	31.292
10.889	31.839
10.939	31.839
10.989	31.839
11.039	32.386
11.089	32.386
11.139	32.386
11.190	32.386
11.239	32.933
11.289	32.933
11.339	32.933
11.389	32.933
11.439	33.479
11.489	33.479
11.539	33.479
11.589	34.026
11.639	34.026
11.689	34.026
11.739	34.573
11.789	34.573
11.840	34.573
11.889	34.573
11.939	35.120
11.989	35.120
12.040	35.120
12.089	35.666
12.139	35.666
12.189	35.666
12.239	35.666
12.289	36.213
12.339	36.213
12.389	36.213
12.440	36.760
12.489	36.760
12.539	36.760
12.589	36.760
12.639	37.307
12.689	37.307
12.739	37.307
12.789	37.853
12.839	37.853
12.889	37.853
12.940	37.853
12.989	38.400
13.039	38.400
13.089	38.400
13.139	38.947
13.189	38.947
13.240	38.947
13.289	39.494
13.339	39.494
13.389	39.494
13.439	39.494
13.489	40.040
13.539	40.040
13.589	40.040
13.639	40.587
13.689	40.587
13.739	40.587
13.789	40.587
13.839	41.134
13.889	41.134
13.939	41.134
13.989	41.681
14.039	41.681
14.089	41.681
14.139	41.681
14.189	42.227
14.239	42.227
14.289	42.227
14.339	42.227
14.390	42.774
14.439	42.774
14.489	42.774
14.539	43.321
14.589	43.321
14.639	43.321
14.689	43.868
14.739	43.868
14.789	43.868
14.839	43.868
14.889	44.414
14.939	44.414
14.989	44.414
15.039	44.961
15.089	44.961
15.139	44.961
15.190	44.961
15.239	45.508
15.289	45.508
15.339	45.508
15.389	45.508
15.439	46.055
15.489	46.055
15.539	46.055
15.589	46.601
15.639	46.601
15.689	46.601
15.739	47.148
15.789	47.148
15.839	47.148
15.889	47.695
15.940	47.695
15.989	47.695
16.039	47.695
16.089	48.241
16.139	48.241
16.189	48.241
16.239	48.788
16.289	48.788
16.339	48.788
16.390	48.788
16.439	49.335
16.489	49.335
16.539	49.335
16.589	49.882
16.639	49.882
16.689	49.882
16.739	49.882
16.789	50.428
16.839	50.428
16.889	50.428
16.939	50.975
16.989	50.975
17.039	50.975
17.089	50.975
17.139	51.522
17.189	51.522
17.239	51.522
17.289	52.069
17.339	52.069
17.389	52.069
17.440	52.615
17.490	52.615
17.539	52.615
17.589	52.615
17.639	53.162
17.689	53.162
17.739	53.162
17.789	53.709
17.839	53.709
17.889	53.709
17.939	53.709
17.989	54.256
18.039	54.256
18.089	54.256
18.139	54.802
18.189	54.802
18.239	54.802
18.289	54.802
18.339	55.349
18.389	55.349
18.439	55.349
18.489	55.896
