Motion Through Fluids Experiment Thu, Feb 06, 2020 2:23 PM
Time(sec)	Position(mm)
0.005	6.142
0.105	5.595
0.155	5.595
0.205	5.595
0.255	5.595
0.305	6.142
0.356	5.595
0.406	5.049
0.455	5.049
0.505	5.049
0.555	5.049
0.605	5.049
0.655	5.049
0.705	5.049
0.755	5.049
0.805	5.595
0.855	6.142
0.905	6.689
0.955	6.689
1.005	7.236
1.055	7.782
1.105	7.782
1.155	8.329
1.205	8.876
1.256	8.876
1.305	9.423
1.355	9.969
1.405	9.969
1.455	10.516
1.505	11.063
1.555	11.063
1.605	11.610
1.655	12.156
1.705	12.156
1.755	12.703
1.805	13.250
1.855	13.250
1.905	13.797
1.955	14.343
2.005	14.343
2.055	14.890
2.105	15.437
2.155	15.437
2.205	15.984
2.255	16.530
2.305	16.530
2.355	17.077
2.405	17.077
2.455	17.624
2.505	18.171
2.555	18.171
2.605	18.717
2.655	18.717
2.706	19.264
2.755	19.811
2.805	19.811
2.855	20.358
2.905	20.904
2.955	21.451
3.005	21.451
3.055	21.998
3.106	21.998
3.156	22.545
3.205	23.091
3.255	23.091
3.305	23.638
3.355	24.185
3.405	24.185
3.455	24.732
3.506	24.732
3.555	25.278
3.605	25.825
3.655	25.825
3.705	26.372
3.755	26.918
3.805	26.918
3.855	27.465
3.905	28.012
3.955	28.012
4.005	28.559
4.055	29.105
4.105	29.105
4.155	29.652
4.205	29.652
4.255	30.199
4.306	30.746
4.355	30.746
4.405	31.292
4.456	31.839
4.505	31.839
4.555	32.386
4.605	32.933
4.656	32.933
4.705	33.479
4.755	34.026
4.805	34.026
4.855	34.573
4.905	35.120
4.955	35.120
5.005	35.666
5.055	35.666
5.105	36.213
5.156	36.760
5.205	36.760
5.255	37.307
5.305	37.853
5.355	37.853
5.405	38.400
5.455	38.947
5.505	38.947
5.555	39.494
5.605	40.040
5.656	40.040
5.705	40.587
5.755	40.587
5.805	41.134
5.856	41.681
5.905	42.227
5.955	42.227
6.005	42.774
6.055	42.774
6.105	43.321
6.155	43.868
6.205	43.868
6.255	44.414
6.305	44.961
6.355	44.961
6.405	45.508
6.455	46.055
6.505	46.055
6.555	46.601
6.606	47.148
6.655	47.148
6.705	47.695
6.755	47.695
6.805	48.241
6.855	48.788
6.906	48.788
6.956	49.335
7.005	49.882
7.055	49.882
7.105	50.428
7.155	50.975
7.205	50.975
7.255	51.522
7.305	52.069
7.355	52.069
7.405	52.615
7.456	53.162
7.505	53.162
7.555	53.709
7.606	54.256
7.655	54.256
7.705	54.802
7.755	54.802
7.805	55.349
7.855	55.896
7.905	55.896
7.955	56.443
8.005	56.989
8.055	56.989
8.105	57.536
8.155	58.083
8.205	58.083
8.255	58.630
8.305	58.630
8.355	59.176
8.405	59.723
8.455	59.723
8.505	60.270
8.555	60.817
8.605	60.817
8.655	61.363
8.705	61.363
8.755	61.910
8.805	62.457
8.855	62.457
8.905	63.004
8.955	63.550
9.005	63.550
9.055	64.097
9.105	64.644
9.155	64.644
9.205	65.191
9.255	65.191
9.306	65.737
9.355	66.284
9.405	66.284
9.455	66.831
9.505	67.378
9.555	67.378
9.605	67.924
9.655	68.471
9.705	68.471
9.755	69.018
9.805	69.564
9.855	69.564
9.905	70.111
9.955	70.111
10.005	70.658
10.055	71.205
10.105	71.205
10.155	71.751
10.205	72.298
10.255	72.298
10.305	72.845
10.355	73.392
10.405	73.392
10.455	73.938
10.505	74.485
10.555	74.485
10.605	75.032
10.655	75.032
10.705	75.579
10.755	76.125
10.805	76.125
10.855	76.672
10.906	77.219
10.955	77.219
11.005	77.766
11.055	78.312
11.105	78.312
11.156	78.859
11.205	79.406
11.255	79.406
11.305	79.953
11.355	79.953
11.406	80.499
11.455	81.046
11.505	81.046
11.555	81.593
11.605	82.140
11.655	82.140
11.705	82.686
11.755	83.233
11.805	83.233
11.856	83.780
11.905	84.327
11.955	84.327
12.005	84.873
12.055	85.420
12.105	85.420
12.155	85.967
12.205	86.514
12.255	86.514
12.305	87.060
12.355	87.060
12.405	87.607
12.455	88.154
12.505	88.154
12.555	88.701
12.605	89.247
12.655	89.247
12.705	89.794
12.755	90.341
12.805	90.341
12.855	90.887
12.906	90.887
12.955	91.434
13.005	91.981
13.055	91.981
13.105	92.528
13.155	93.074
13.205	93.074
13.255	93.621
13.305	94.168
13.355	94.168
13.405	94.715
13.455	95.261
13.505	95.261
13.555	95.808
13.605	96.355
13.655	96.355
13.705	96.902
13.755	97.448
13.805	97.448
13.855	97.995
13.905	97.995
13.955	98.542
14.005	99.089
14.055	99.089
14.105	99.635
14.155	100.182
14.205	100.182
14.255	100.729
14.305	101.276
14.355	101.276
14.405	101.822
14.455	101.822
14.505	102.369
14.555	102.916
14.605	102.916
14.655	103.463
14.705	104.009
14.755	104.009
14.805	104.556
14.855	105.103
14.905	105.103
14.955	105.650
15.005	105.650
15.055	106.196
15.106	106.743
15.155	106.743
15.205	107.290
15.255	107.837
15.305	107.837
15.356	108.383
15.405	108.930
15.455	108.930
15.505	109.477
15.555	109.477
15.605	110.024
15.655	110.570
15.705	110.570
15.755	111.117
15.805	111.664
15.855	111.664
15.905	112.210
15.955	112.757
16.005	112.757
16.055	113.304
16.105	113.851
16.155	113.851
16.205	114.397
16.255	114.397
16.305	114.944
16.356	115.491
16.405	115.491
16.455	116.038
16.506	116.584
16.555	116.584
16.605	117.131
16.655	117.678
16.705	117.678
16.755	118.225
16.806	118.771
16.856	118.771
16.905	119.318
16.955	119.865
17.006	119.865
17.055	120.412
17.105	120.412
17.155	120.958
17.205	121.505
17.255	121.505
17.305	122.052
17.355	122.599
17.405	122.599
17.455	123.145
17.505	123.692
17.556	123.692
17.605	124.239
17.655	124.239
17.705	124.786
17.755	125.332
17.805	125.332
17.855	125.879
17.905	126.426
17.955	126.426
18.005	126.973
18.055	127.519
18.106	127.519
18.155	128.066
18.205	128.613
18.255	128.613
18.305	129.160
18.355	129.706
18.405	129.706
18.455	130.253
18.505	130.253
18.555	130.800
18.605	131.347
18.655	131.347
18.705	131.893
18.755	132.440
18.805	132.440
18.855	132.987
18.905	133.533
18.955	133.533
19.005	134.080
19.055	134.627
19.105	134.627
19.155	135.174
19.205	135.174
19.255	135.720
19.305	136.267
19.355	136.267
19.405	136.814
19.456	137.361
19.505	137.361
19.555	137.907
19.605	138.454
19.655	138.454
19.705	139.001
19.755	139.548
19.805	139.548
19.855	140.094
19.905	140.094
19.955	140.641
20.005	141.188
20.055	141.188
20.105	141.735
20.155	142.281
20.205	142.281
20.255	142.828
20.305	143.375
20.355	143.375
20.405	143.922
20.455	143.922
20.506	144.468
20.555	145.015
20.605	145.015
20.655	145.562
20.705	146.109
20.755	146.109
20.805	146.655
20.855	146.655
20.905	147.202
20.955	147.749
21.005	147.749
21.055	148.296
21.105	148.842
21.155	148.842
21.205	149.389
21.255	149.389
21.305	149.936
21.355	150.483
21.405	150.483
21.455	151.029
21.505	151.576
21.555	151.576
21.605	152.123
21.655	152.670
21.705	152.670
21.756	153.216
21.805	153.763
21.855	153.763
21.905	154.310
21.955	154.310
22.005	154.856
22.056	155.403
22.105	155.403
22.155	155.950
22.205	156.497
22.255	156.497
22.307	157.043
22.355	157.590
22.405	157.590
22.455	158.137
22.505	158.137
22.555	158.684
22.605	159.230
22.655	159.230
22.705	159.777
22.755	160.324
22.805	160.324
22.855	160.871
22.906	161.417
22.955	161.417
23.006	161.964
23.055	162.511
23.105	162.511
23.155	163.058
23.205	163.058
23.255	163.604
23.305	164.151
23.355	164.151
23.405	164.698
23.455	165.245
23.505	165.245
23.555	165.791
23.605	166.338
23.655	166.338
23.705	166.885
23.755	167.432
23.805	167.432
23.855	167.978
23.905	167.978
23.955	168.525
24.005	169.072
24.056	169.072
24.105	169.619
24.156	170.165
24.205	170.165
24.256	170.712
24.305	171.259
24.355	171.259
24.405	171.806
24.455	171.806
24.505	172.352
24.555	172.899
24.605	172.899
24.655	173.446
24.705	173.992
24.756	173.992
24.806	174.539
24.855	175.086
24.905	175.086
24.955	175.633
25.005	176.179
25.055	176.179
25.105	176.726
25.155	176.726
25.205	177.273
25.255	177.820
25.305	177.820
25.355	178.366
25.405	178.913
25.455	178.913
25.505	179.460
25.555	180.007
25.605	180.007
25.655	180.553
25.705	180.553
25.755	181.100
25.805	181.647
25.855	181.647
25.905	182.194
25.955	182.740
26.005	182.740
26.055	183.287
26.106	183.834
26.155	183.834
26.205	184.381
26.255	184.927
26.305	184.927
26.355	185.474
26.405	185.474
26.455	186.021
26.505	186.568
26.555	186.568
26.605	187.114
26.655	187.114
26.705	187.661
26.755	188.208
26.806	188.208
26.855	188.755
26.905	189.301
26.955	189.301
27.005	189.848
27.055	190.395
27.105	190.395
27.155	190.942
27.205	190.942
27.255	191.488
27.305	192.035
27.355	192.035
27.405	192.582
27.455	193.129
27.505	193.129
27.555	193.675
27.605	193.675
27.655	194.222
27.705	194.769
27.755	194.769
27.805	195.316
27.855	195.862
27.905	195.862
27.956	196.409
28.005	196.956
28.055	196.956
28.105	197.502
28.155	198.049
28.205	198.049
28.256	198.596
28.305	198.596
28.355	199.143
28.405	199.689
28.455	199.689
28.505	200.236
28.555	200.783
28.605	200.783
28.655	201.330
28.705	201.876
28.755	201.876
28.805	202.423
28.856	202.970
28.905	202.970
28.955	203.517
29.005	203.517
29.055	204.063
29.105	204.610
29.155	204.610
29.205	205.157
29.255	205.704
29.305	205.704
29.355	206.250
29.406	206.797
29.455	206.797
29.505	207.344
29.555	207.344
29.605	207.891
29.655	208.437
29.705	208.437
29.756	208.984
29.805	209.531
29.855	209.531
29.905	210.078
29.955	210.078
30.005	210.624
30.055	211.171
30.105	211.171
30.155	211.718
30.205	211.718
30.255	212.265
30.305	212.811
30.355	212.811
30.405	213.358
30.455	213.358
30.505	213.905
30.555	214.452
30.605	214.452
30.655	214.998
30.705	215.545
30.755	215.545
30.806	216.092
30.855	216.092
30.905	216.638
30.955	217.185
31.005	217.185
31.055	217.732
31.106	217.732
31.155	218.279
31.205	218.825
31.255	218.825
31.305	219.372
31.355	219.372
31.405	219.919
31.455	220.466
31.505	220.466
31.555	221.012
31.605	221.012
31.655	221.559
31.705	222.106
31.755	222.106
31.805	222.653
31.855	222.653
31.905	223.199
31.955	223.746
32.005	223.746
32.055	224.293
32.105	224.293
32.155	224.840
32.205	225.386
32.255	225.386
32.305	225.933
32.356	225.933
32.405	226.480
32.455	227.027
32.505	227.027
32.555	227.573
32.605	227.573
32.655	228.120
32.705	228.667
32.755	228.667
32.805	229.214
32.855	229.214
32.905	229.760
32.955	229.760
33.005	230.307
33.055	230.854
33.105	230.854
33.155	231.401
33.205	231.401
33.255	231.947
33.305	231.947
33.355	232.494
33.406	232.494
33.455	233.041
33.505	233.588
33.555	233.588
33.606	234.134
33.655	234.134
33.705	234.681
33.755	235.228
33.805	235.228
33.855	235.775
33.905	235.775
33.955	236.321
34.005	236.321
34.055	236.868
34.105	236.868
34.155	237.415
34.205	237.962
34.255	237.962
34.305	238.508
34.355	238.508
34.405	239.055
34.455	239.602
34.506	239.602
34.555	240.148
34.605	240.148
34.655	240.695
34.705	240.695
34.755	241.242
34.805	241.242
34.855	241.789
34.905	241.789
34.955	242.335
35.005	242.882
35.055	242.882
35.105	243.429
35.155	243.429
35.205	243.976
35.255	243.976
35.305	244.522
35.355	244.522
35.405	245.069
35.455	245.069
35.505	245.616
35.555	246.163
35.605	246.163
35.655	246.709
35.705	246.709
35.755	247.256
35.805	247.256
35.855	247.803
35.905	247.803
35.955	248.350
36.005	248.350
