Motion Through Fluids Experiment Thu, Feb 06, 2020 1:28 PM
Time(sec)	Position(mm)
0.041	0.000
0.091	0.000
0.141	0.000
0.191	0.000
0.241	0.000
0.292	0.000
0.341	0.675
0.391	1.222
0.441	2.315
0.491	3.409
0.541	5.049
0.591	7.236
0.641	9.423
0.691	11.610
0.741	13.797
0.792	15.437
0.841	17.624
0.891	19.811
0.941	21.998
0.991	24.185
1.041	26.372
1.091	28.559
1.141	30.746
1.191	32.933
1.241	34.573
1.291	36.760
1.342	38.947
1.391	41.134
1.441	43.321
1.491	45.508
1.541	47.695
1.591	49.882
1.641	52.069
1.692	54.256
1.741	56.443
1.791	58.630
1.841	60.817
1.891	63.004
1.941	65.191
1.991	66.831
2.041	69.018
2.091	71.205
2.142	73.392
2.191	75.579
2.241	77.766
2.291	79.953
2.341	82.140
2.391	84.327
2.442	86.514
2.491	88.701
2.541	90.887
2.591	93.074
2.641	95.261
2.691	97.448
2.742	99.635
2.791	101.822
2.841	104.009
2.891	106.196
2.941	108.383
2.991	110.570
3.041	112.757
3.091	114.397
3.141	116.584
3.191	118.771
3.241	120.958
3.291	123.145
3.341	125.332
3.391	127.519
3.441	129.706
3.491	131.893
3.541	134.080
3.591	136.267
3.641	138.454
3.692	140.641
3.742	142.828
3.791	145.015
3.842	147.202
3.891	149.389
3.941	151.576
3.991	153.763
4.041	155.950
4.091	158.137
4.141	160.324
4.191	162.511
4.241	164.698
4.291	166.885
4.341	169.072
4.391	171.259
4.441	172.899
4.491	175.086
4.541	177.273
4.591	179.460
4.641	181.647
4.691	183.834
4.741	186.021
4.791	188.208
4.841	190.395
4.891	192.582
4.941	194.769
4.991	196.956
5.041	198.596
5.091	200.783
5.141	202.970
5.191	205.157
5.241	207.344
5.291	209.531
5.341	211.718
5.391	213.905
5.441	216.092
5.491	218.279
5.541	219.919
5.591	222.106
5.641	224.293
5.691	226.480
5.741	228.667
5.791	230.307
5.842	232.494
5.891	234.681
5.941	236.321
5.991	238.508
