Motion Through Fluids Experiment Thu, Feb 06, 2020 1:56 PM
Time(sec)	Position(mm)
0.017	17.077
0.067	19.264
0.117	20.904
0.167	23.091
0.217	25.278
0.267	27.465
0.317	29.652
0.368	31.839
0.417	34.026
0.467	36.213
0.517	38.400
0.567	40.587
0.617	42.774
0.667	44.961
0.717	47.148
0.767	49.335
0.817	51.522
0.867	53.709
0.917	55.896
0.967	58.083
1.017	60.270
1.067	62.457
1.117	64.644
1.167	66.831
1.217	69.018
1.267	71.205
1.317	73.392
1.367	75.579
1.417	77.766
1.467	79.953
1.517	82.140
1.567	84.327
1.617	86.514
1.667	88.701
1.717	90.887
1.767	93.074
1.817	95.261
1.867	97.448
1.917	99.635
1.967	101.822
2.017	104.009
2.067	106.196
2.117	108.383
2.168	110.570
2.217	112.757
2.267	114.944
2.317	117.131
2.367	119.318
2.417	121.505
2.467	123.692
2.517	125.879
2.567	128.066
2.617	130.253
2.667	132.440
2.717	134.627
2.767	136.814
2.817	139.001
2.867	141.188
2.917	143.375
2.967	145.562
3.017	147.749
3.067	149.936
3.117	152.123
3.167	154.310
3.217	156.497
3.267	158.684
3.317	161.417
3.367	163.058
3.417	165.245
3.467	167.978
3.518	169.619
3.567	171.806
3.617	174.539
3.667	176.726
3.717	178.913
3.767	181.100
3.818	183.287
3.867	185.474
3.917	187.661
3.967	189.848
4.017	192.035
4.067	194.222
4.117	196.409
4.167	198.596
4.217	200.236
4.267	202.970
4.318	205.157
4.367	206.797
4.417	208.984
4.467	211.171
4.518	213.358
4.567	215.545
4.617	217.732
4.667	219.372
4.717	221.559
4.767	223.746
4.817	225.933
4.867	228.120
4.917	230.307
4.967	232.494
5.017	234.134
5.067	236.321
5.117	238.508
5.167	240.148
5.217	242.335
5.267	244.522
5.317	246.163
5.367	248.350
5.417	249.990
5.467	252.177
5.517	253.817
5.567	254.364
5.618	255.457
5.667	0.000
5.717	0.000
5.767	0.000
5.817	0.000
5.867	0.000
5.917	0.000
5.967	0.000
