Motion Through Fluids Experiment Thu, Feb 06, 2020 2:20 PM
Time(sec)	Position(mm)
0.019	6.142
0.069	5.595
0.119	5.595
0.169	5.595
0.219	5.595
0.269	6.142
0.319	6.142
0.370	6.142
0.420	5.595
0.470	5.595
0.519	5.595
0.569	5.595
0.619	5.595
0.669	6.142
0.719	6.142
0.770	6.689
0.819	7.236
0.869	7.236
0.919	7.782
0.969	8.329
1.019	8.329
1.069	8.876
1.119	9.423
1.169	9.969
1.219	9.969
1.269	10.516
1.319	11.063
1.369	11.063
1.419	11.610
1.469	11.610
1.520	12.156
1.569	12.703
1.619	12.703
1.669	13.250
1.719	13.797
1.769	14.343
1.819	14.343
1.869	14.890
1.919	15.437
1.969	15.437
2.019	15.984
2.069	16.530
2.119	16.530
2.169	17.077
2.219	17.624
2.269	17.624
2.319	18.171
2.369	18.717
2.419	18.717
2.469	19.264
2.519	19.811
2.569	19.811
2.619	20.358
2.669	20.358
2.719	20.904
2.769	21.451
2.819	21.451
2.869	21.998
2.919	22.545
2.969	22.545
3.019	23.091
3.069	23.638
3.119	23.638
3.169	24.185
3.219	24.732
3.269	24.732
3.319	25.278
3.369	25.278
3.419	25.825
3.469	26.372
3.519	26.372
3.569	26.918
3.619	27.465
3.669	27.465
3.720	28.012
3.769	28.559
3.819	28.559
3.869	29.105
3.920	29.652
3.969	29.652
4.019	30.199
4.069	30.199
4.119	30.746
4.170	31.292
4.219	31.292
4.269	31.839
4.319	32.386
4.369	32.386
4.420	32.933
4.469	33.479
4.519	33.479
4.569	34.026
4.619	34.573
4.669	34.573
4.719	35.120
4.769	35.120
4.819	35.666
4.869	36.213
4.919	36.213
4.969	36.760
5.019	37.307
5.069	37.307
5.119	37.853
5.169	38.400
5.219	38.400
5.269	38.947
5.319	39.494
5.370	39.494
5.419	40.040
5.469	40.587
5.519	40.587
5.569	41.134
5.619	41.134
5.669	41.681
5.719	42.227
5.769	42.227
5.819	42.774
5.869	43.321
5.919	43.321
5.969	43.868
6.019	44.414
6.070	44.414
6.119	44.961
6.169	44.961
6.219	45.508
6.269	46.055
6.319	46.055
6.369	46.601
6.419	47.148
6.469	47.695
6.519	47.695
6.569	48.241
6.620	48.241
6.669	48.788
6.719	49.335
6.770	49.335
6.819	49.882
6.869	50.428
6.919	50.428
6.969	50.975
7.019	51.522
7.069	51.522
7.119	52.069
7.169	52.615
7.219	52.615
7.269	53.162
7.319	53.162
7.369	53.709
7.419	54.256
7.470	54.256
7.520	54.802
7.569	55.349
7.619	55.349
7.669	55.896
7.719	56.443
7.769	56.443
7.819	56.989
7.869	57.536
7.919	57.536
7.969	58.083
8.019	58.630
8.070	58.630
8.119	59.176
8.169	59.723
8.220	59.723
8.269	60.270
8.319	60.817
8.369	60.817
8.419	61.363
8.469	61.910
8.519	61.910
8.569	62.457
8.619	62.457
8.669	63.004
8.719	63.550
8.769	63.550
8.819	64.097
8.869	64.644
8.919	64.644
8.969	65.191
9.020	65.737
9.069	65.737
9.119	66.284
9.169	66.284
9.219	66.831
9.269	67.378
9.319	67.378
9.369	67.924
9.419	68.471
9.470	68.471
9.519	69.018
9.569	69.564
9.619	69.564
9.669	70.111
9.719	70.658
9.769	70.658
9.819	71.205
9.870	71.205
9.919	71.751
9.969	72.298
10.019	72.298
10.069	72.845
10.120	73.392
10.169	73.392
10.219	73.938
10.269	74.485
10.319	74.485
10.369	75.032
10.419	75.032
10.469	75.579
10.519	76.125
10.569	76.125
10.619	76.672
10.669	77.219
10.719	77.219
10.769	77.766
10.819	78.312
10.869	78.312
10.919	78.859
10.969	79.406
11.019	79.406
11.069	79.953
11.119	80.499
11.169	80.499
11.219	81.046
11.269	81.046
11.319	81.593
11.369	82.140
11.419	82.140
11.469	82.686
11.519	83.233
11.569	83.233
11.619	83.780
11.669	84.327
11.719	84.327
11.769	84.873
11.819	84.873
11.869	85.420
11.919	85.967
11.969	85.967
12.020	86.514
12.069	87.060
12.119	87.060
12.169	87.607
12.219	88.154
12.269	88.154
12.319	88.701
12.369	89.247
12.419	89.247
12.469	89.794
12.519	90.341
12.569	90.341
12.619	90.887
12.669	90.887
12.719	91.434
12.769	91.981
12.819	91.981
12.869	92.528
12.919	93.074
12.970	93.621
13.019	93.621
13.069	94.168
13.119	94.168
13.169	94.715
13.219	95.261
13.269	95.261
13.319	95.808
13.369	96.355
13.419	96.355
13.469	96.902
13.519	97.448
13.569	97.448
13.619	97.995
13.669	98.542
13.719	98.542
13.769	99.089
13.819	99.089
13.869	99.635
13.920	100.182
13.969	100.182
14.019	100.729
14.069	101.276
14.119	101.822
14.169	101.822
14.219	102.369
14.269	102.369
14.319	102.916
14.369	103.463
14.419	103.463
14.469	104.009
14.519	104.556
14.569	104.556
14.619	105.103
14.669	105.650
14.719	105.650
14.769	106.196
14.819	106.743
14.869	106.743
14.919	107.290
14.969	107.290
15.019	107.837
15.069	108.383
15.119	108.930
15.169	108.930
15.219	109.477
15.269	109.477
15.319	110.024
15.369	110.024
15.419	110.570
15.469	111.117
15.519	111.117
15.569	111.664
15.619	112.210
15.669	112.210
15.719	112.757
15.769	113.304
15.819	113.304
15.869	113.851
15.919	114.397
15.969	114.397
16.019	114.944
16.069	115.491
16.119	115.491
16.170	116.038
16.219	116.584
16.269	116.584
16.319	117.131
16.369	117.131
16.419	117.678
16.469	118.225
16.519	118.225
16.569	118.771
16.620	119.318
16.669	119.318
16.719	119.865
16.770	119.865
16.819	120.412
16.869	120.958
16.919	120.958
16.969	121.505
17.019	122.052
17.069	122.052
17.120	122.599
17.169	123.145
17.219	123.145
17.269	123.692
17.319	124.239
17.370	124.239
17.419	124.786
17.469	125.332
17.519	125.332
17.569	125.879
17.619	125.879
17.669	126.426
17.719	126.973
17.769	126.973
17.819	127.519
17.869	128.066
17.919	128.066
17.970	128.613
18.019	129.160
18.069	129.160
18.119	129.706
18.169	130.253
18.219	130.253
18.269	130.800
18.319	131.347
18.369	131.347
18.419	131.893
18.469	131.893
18.520	132.440
18.570	132.987
18.619	132.987
18.669	133.533
18.719	134.080
18.769	134.080
18.819	134.627
18.869	135.174
18.919	135.174
18.969	135.720
19.019	136.267
19.069	136.267
19.119	136.814
19.169	137.361
19.219	137.361
19.269	137.907
19.319	137.907
19.369	138.454
19.419	139.001
19.469	139.001
19.519	139.548
19.569	140.094
19.620	140.094
19.669	140.641
19.719	141.188
19.770	141.188
19.820	141.735
19.869	142.281
19.919	142.281
19.969	142.828
20.019	143.375
20.069	143.375
20.119	143.922
20.169	143.922
20.219	144.468
20.269	145.015
20.319	145.015
20.369	145.562
20.420	146.109
20.469	146.109
20.519	146.655
20.569	147.202
20.619	147.202
20.669	147.749
20.719	148.296
20.769	148.296
20.819	148.842
20.869	148.842
20.919	149.389
20.969	149.936
21.019	149.936
21.069	150.483
21.120	151.029
21.169	151.029
21.219	151.576
21.269	151.576
21.319	152.123
21.369	152.670
21.419	152.670
21.469	153.216
21.519	153.763
21.569	153.763
21.619	154.310
21.669	154.856
21.719	154.856
21.769	155.403
21.820	155.403
21.869	155.950
21.919	156.497
21.969	156.497
22.020	157.043
22.069	157.590
22.119	157.590
22.169	158.137
22.219	158.684
22.269	158.684
22.319	159.230
22.370	159.777
22.419	159.777
22.469	160.324
22.519	160.324
22.569	160.871
22.619	161.417
22.669	161.417
22.719	161.964
22.769	162.511
22.819	162.511
22.869	163.058
22.919	163.604
22.969	163.604
23.020	164.151
23.069	164.151
23.119	164.698
23.169	165.245
23.219	165.245
23.269	165.791
23.319	166.338
23.369	166.338
23.419	166.885
23.469	167.432
23.519	167.432
23.569	167.978
23.619	168.525
23.669	168.525
23.719	169.072
23.769	169.072
23.819	169.619
23.869	170.165
23.919	170.712
23.969	170.712
24.019	171.259
24.069	171.259
24.119	171.806
24.169	172.352
24.219	172.352
24.269	172.899
24.319	172.899
24.369	173.446
24.419	173.992
24.469	174.539
24.519	174.539
24.569	175.086
24.619	175.086
24.669	175.633
24.719	176.179
24.769	176.179
24.819	176.726
24.869	177.273
24.919	177.273
24.969	177.820
25.019	178.366
25.069	178.366
25.119	178.913
25.169	179.460
25.219	179.460
25.270	180.007
25.320	180.007
25.369	180.553
25.419	181.100
25.469	181.647
25.519	181.647
25.569	182.194
25.619	182.194
25.669	182.740
25.719	183.287
25.770	183.287
25.819	183.834
25.869	184.381
25.919	184.381
25.969	184.927
26.019	185.474
26.069	185.474
26.120	186.021
26.169	186.021
26.219	186.568
26.269	187.114
26.319	187.114
26.369	187.661
26.419	188.208
26.469	188.208
26.520	188.755
26.569	189.301
26.619	189.301
26.669	189.848
26.719	189.848
26.769	190.395
26.819	190.942
26.869	190.942
26.919	191.488
26.969	192.035
27.019	192.035
27.069	192.582
27.119	192.582
27.169	193.129
27.219	193.675
27.269	193.675
27.320	194.222
27.369	194.769
27.419	194.769
27.469	195.316
27.519	195.862
27.569	195.862
27.619	196.409
27.669	196.409
27.719	196.956
27.769	197.502
27.820	197.502
27.869	198.049
27.920	198.596
27.969	198.596
28.019	199.143
28.069	199.689
28.119	199.689
28.169	200.236
28.219	200.236
28.269	200.783
28.319	201.330
28.369	201.330
28.419	201.876
28.469	202.423
28.519	202.423
28.569	202.970
28.619	203.517
28.669	203.517
28.719	204.063
28.770	204.610
28.819	204.610
28.871	205.157
28.919	205.157
28.969	205.704
29.019	206.250
29.069	206.250
29.119	206.797
29.169	207.344
29.219	207.344
29.269	207.891
29.319	207.891
29.369	208.437
29.419	208.984
29.469	208.984
29.520	209.531
29.569	210.078
29.619	210.078
29.669	210.624
29.719	211.171
29.769	211.171
29.819	211.718
29.869	211.718
29.920	212.265
29.969	212.811
30.019	212.811
30.069	213.358
30.120	213.905
30.169	213.905
30.219	214.452
30.269	214.998
30.319	214.998
30.369	215.545
30.419	215.545
30.469	216.092
30.519	216.638
30.569	216.638
30.619	217.185
30.669	217.185
30.719	217.732
30.770	217.732
30.819	218.279
30.869	218.825
30.919	218.825
30.969	219.372
31.019	219.919
31.069	219.919
31.119	220.466
31.170	220.466
31.219	221.012
31.269	221.559
31.319	221.559
