Motion Through Fluids Experiment Thu, Feb 06, 2020 2:07 PM
Time(sec)	Position(mm)
0.033	9.969
0.133	12.156
0.183	13.250
0.233	14.343
0.284	15.437
0.333	17.077
0.383	18.171
0.433	19.264
0.483	20.904
0.533	21.998
0.583	23.091
0.634	24.732
0.683	25.825
0.733	26.918
0.783	28.559
0.833	29.652
0.883	30.746
0.933	32.386
0.983	33.479
1.033	35.120
1.083	36.213
1.133	37.853
1.183	38.947
1.233	40.040
1.283	41.681
1.333	42.774
1.383	44.414
1.433	45.508
1.483	46.601
1.533	48.241
1.583	49.335
1.634	50.975
1.683	52.069
1.733	53.709
1.783	54.802
1.834	55.896
1.883	57.536
1.933	58.630
1.983	59.723
2.033	61.363
2.083	62.457
2.133	64.097
2.183	65.191
2.233	66.284
2.283	67.924
2.333	69.018
2.383	70.658
2.433	71.751
2.483	72.845
2.533	74.485
2.583	75.579
2.633	77.219
2.683	78.312
2.733	79.406
2.783	81.046
2.833	82.140
2.883	83.780
2.933	84.873
2.983	85.967
3.033	87.607
3.083	88.701
3.133	90.341
3.183	91.434
3.233	93.074
3.283	94.168
3.333	95.261
3.383	96.902
3.434	97.995
3.483	99.635
3.533	100.729
3.583	101.822
3.633	103.463
3.683	104.556
3.733	106.196
3.783	107.290
3.833	108.930
3.883	110.024
3.933	111.117
3.983	112.210
4.033	113.851
4.083	114.944
4.133	116.584
4.183	117.678
4.233	118.771
4.283	120.412
4.333	121.505
4.383	122.599
4.433	124.239
4.483	125.332
4.533	126.973
4.583	128.066
4.633	129.160
4.683	130.800
4.733	131.893
4.783	133.533
4.833	134.627
4.883	136.267
4.933	137.361
4.983	139.001
5.033	140.094
5.083	141.188
5.134	142.828
5.183	143.922
5.233	145.562
5.283	146.655
5.333	147.749
5.383	149.389
5.433	150.483
5.483	151.576
5.533	153.216
5.583	154.310
5.633	155.950
5.683	157.043
5.733	158.137
5.783	159.777
5.833	160.871
5.883	162.511
5.933	163.604
5.983	164.698
6.033	166.338
6.084	167.432
6.133	168.525
6.183	170.165
6.233	171.259
6.283	172.899
6.333	173.992
6.383	175.086
6.433	176.726
6.483	177.820
6.533	179.460
6.583	180.553
6.633	181.647
6.683	183.287
6.733	184.381
6.783	186.021
6.833	187.114
6.883	188.208
6.933	189.848
6.983	190.942
7.033	192.035
7.083	193.675
7.133	194.769
7.183	195.862
7.233	197.502
7.283	198.596
7.333	200.236
7.383	201.330
7.433	202.423
7.483	204.063
7.533	205.157
7.583	206.250
7.633	207.891
7.683	208.984
7.733	210.624
7.783	211.718
7.833	212.811
7.883	214.452
7.933	215.545
7.983	216.638
8.033	217.732
8.083	219.372
8.133	220.466
8.183	221.559
8.233	223.199
8.283	224.293
8.333	225.386
8.383	227.027
8.433	228.120
8.483	229.214
8.533	230.307
8.583	231.947
8.633	233.041
8.683	234.134
8.733	235.228
8.783	236.868
8.833	237.962
8.883	239.055
8.933	240.148
8.983	241.242
9.033	242.882
9.083	243.976
9.134	245.069
9.183	246.163
9.233	247.256
9.283	248.350
9.333	249.443
9.383	250.537
9.433	251.630
9.483	252.724
9.533	253.817
9.583	254.364
9.783	0.000
9.884	0.000
9.933	0.000
9.983	0.000
10.033	0.000
10.083	0.000
10.133	0.000
10.183	0.000
10.233	0.000
