Motion Through Fluids Experiment Thu, Feb 06, 2020 2:13 PM
Time(sec)	Position(mm)
19.914	235.228
19.965	235.775
20.014	236.321
20.064	236.868
20.114	237.415
20.164	237.962
20.214	238.508
20.264	239.055
20.314	239.602
20.364	240.148
20.414	240.695
20.464	240.695
20.514	241.242
20.564	242.335
20.614	242.335
20.664	242.882
20.714	243.429
20.764	243.976
20.814	244.522
20.864	245.069
20.915	245.616
20.964	246.163
21.014	246.709
21.064	247.256
21.114	247.803
21.164	247.803
21.215	248.350
21.264	248.896
21.314	249.443
21.364	249.990
21.414	250.537
21.464	251.083
21.515	251.630
21.564	252.177
21.614	252.724
21.664	252.724
21.715	253.270
21.764	253.817
21.814	254.364
21.864	254.911
21.914	254.911
21.964	255.457
22.015	0.000
22.064	0.000
22.114	0.000
22.164	0.000
