Motion Through Fluids Experiment Thu, Feb 06, 2020 2:22 PM
Time(sec)	Position(mm)
0.042	5.595
0.092	5.049
0.142	3.955
0.192	3.955
0.242	3.955
0.292	3.955
0.342	3.409
0.392	3.409
0.442	3.409
0.492	3.955
0.542	3.955
0.592	3.955
0.642	4.502
0.692	5.049
0.742	5.595
0.792	5.595
0.842	6.142
0.892	6.689
0.942	6.689
0.992	7.236
1.042	7.782
1.092	7.782
1.142	8.329
1.192	8.876
1.242	8.876
1.292	9.423
1.342	9.969
1.392	9.969
1.442	10.516
1.492	11.063
1.542	11.063
1.592	11.610
1.642	12.156
1.692	12.156
1.742	12.703
1.792	13.250
1.842	13.250
1.892	13.797
1.942	14.343
1.992	14.343
2.042	14.890
2.092	15.437
2.142	15.437
2.192	15.984
2.242	16.530
2.292	16.530
2.342	17.077
2.392	17.077
2.442	17.624
2.492	18.171
2.543	18.717
2.592	18.717
2.642	19.264
2.692	19.264
2.742	19.811
2.792	20.358
2.842	20.358
2.892	20.904
2.942	21.451
2.992	21.451
3.042	21.998
3.092	22.545
3.143	22.545
3.192	23.091
3.242	23.638
3.292	23.638
3.342	24.185
3.392	24.185
3.442	24.732
3.492	25.278
3.542	25.278
3.593	25.825
3.642	26.372
3.692	26.372
3.742	26.918
3.793	27.465
3.842	27.465
3.892	28.012
3.942	28.559
3.992	28.559
4.042	29.105
4.092	29.652
4.142	29.652
4.192	30.199
4.242	30.199
4.292	30.746
4.342	31.292
4.392	31.292
4.442	31.839
4.492	32.386
4.542	32.386
4.592	32.933
4.642	33.479
4.693	33.479
4.742	34.026
4.792	34.026
4.842	34.573
4.892	35.120
4.942	35.120
4.992	35.666
5.043	36.213
5.092	36.213
5.142	36.760
5.192	37.307
5.242	37.307
5.292	37.853
5.342	37.853
5.392	38.400
5.442	38.947
5.493	38.947
5.542	39.494
5.593	40.040
5.642	40.040
5.692	40.587
5.742	41.134
5.792	41.134
5.842	41.681
5.893	42.227
5.942	42.227
5.993	42.774
6.042	43.321
6.092	43.321
6.143	43.868
6.192	43.868
6.242	44.414
6.293	44.961
6.342	44.961
6.392	45.508
6.442	46.055
6.492	46.055
6.542	46.601
6.592	47.148
6.642	47.148
6.692	47.695
6.742	47.695
6.792	48.241
6.842	48.788
6.892	48.788
6.942	49.335
6.992	49.882
7.042	49.882
7.092	50.428
7.142	50.975
7.192	50.975
7.242	51.522
7.292	52.069
7.342	52.069
7.392	52.615
7.442	53.162
7.492	53.162
7.542	53.709
7.592	53.709
7.642	54.256
7.693	54.802
7.742	55.349
7.792	55.349
7.842	55.896
7.892	55.896
7.942	56.443
7.992	56.989
8.042	56.989
8.092	57.536
8.142	58.083
8.193	58.083
8.243	58.630
8.292	59.176
8.342	59.176
8.392	59.723
8.442	60.270
8.492	60.270
8.542	60.817
8.593	60.817
8.642	61.363
8.692	61.910
8.742	61.910
8.792	62.457
8.842	63.004
8.892	63.004
8.942	63.550
8.992	64.097
9.042	64.097
9.093	64.644
9.142	65.191
9.192	65.191
9.242	65.737
9.293	65.737
9.342	66.284
9.392	66.831
9.442	66.831
9.492	67.378
9.542	67.924
9.592	67.924
9.642	68.471
9.692	69.018
9.742	69.018
9.792	69.564
9.842	70.111
9.892	70.111
9.942	70.658
9.992	70.658
10.043	71.205
10.092	71.751
10.142	71.751
10.192	72.298
10.242	72.845
10.293	72.845
10.342	73.392
10.392	73.938
10.442	73.938
10.492	74.485
10.542	75.032
10.592	75.032
10.642	75.579
10.692	75.579
10.742	76.125
10.792	76.672
10.843	76.672
10.892	77.219
10.942	77.766
10.992	77.766
11.042	78.312
11.092	78.859
11.142	78.859
11.192	79.406
11.242	79.406
11.292	79.953
11.342	80.499
11.393	81.046
11.442	81.046
11.492	81.593
11.542	81.593
11.592	82.140
11.642	82.686
11.692	82.686
11.742	83.233
11.792	83.233
11.842	83.780
11.892	84.327
11.942	84.327
11.992	84.873
12.042	85.420
12.092	85.420
12.142	85.967
12.192	86.514
12.242	86.514
12.292	87.060
12.342	87.607
12.392	87.607
12.442	88.154
12.492	88.701
12.542	88.701
12.592	89.247
12.642	89.247
12.692	89.794
12.742	90.341
12.792	90.341
12.842	90.887
12.892	91.434
12.942	91.434
12.992	91.981
13.042	92.528
13.092	92.528
13.142	93.074
13.193	93.621
13.242	93.621
13.292	94.168
13.342	94.715
13.392	94.715
13.442	95.261
13.492	95.261
13.542	95.808
13.592	96.355
13.642	96.902
13.692	96.902
13.742	97.448
13.792	97.448
13.842	97.995
13.893	98.542
13.942	98.542
13.993	99.089
14.042	99.635
14.092	99.635
14.142	100.182
14.192	100.729
14.242	100.729
14.292	101.276
14.343	101.822
14.392	101.822
14.442	102.369
14.492	102.369
14.542	102.916
14.592	103.463
14.642	103.463
14.693	104.009
14.742	104.556
14.792	104.556
14.842	105.103
14.892	105.650
14.942	105.650
14.992	106.196
15.042	106.743
15.092	106.743
15.142	107.290
15.192	107.837
15.242	107.837
15.292	108.383
15.342	108.383
15.392	108.930
15.442	109.477
