Motion Through Fluids Experiment Thu, Feb 06, 2020 2:55 PM
Time(sec)	Position(mm)
0.014	3.409
0.064	8.876
0.114	3.409
0.164	3.955
0.214	2.315
0.264	1.768
0.314	1.768
0.364	39.494
0.414	44.961
0.464	50.428
0.514	55.896
0.564	61.910
0.614	67.378
0.664	73.392
0.714	79.406
0.764	85.420
0.814	91.434
0.864	97.995
0.914	104.009
0.964	110.570
1.014	116.584
1.064	123.145
1.114	129.706
1.164	135.720
1.214	142.281
1.264	148.842
1.314	154.856
1.364	161.417
1.414	167.978
1.464	174.539
1.514	180.553
1.564	187.114
1.614	193.129
1.664	199.689
1.714	206.250
1.764	212.811
1.814	218.825
1.864	225.386
1.914	231.947
1.964	238.508
2.014	245.069
2.064	251.630
2.114	0.000
2.164	0.000
2.214	0.000
2.264	0.000
2.314	0.000
2.364	0.000
2.414	0.000
2.464	0.000
2.514	0.000
2.564	0.000
2.615	0.000
2.664	0.000
2.715	0.000
2.764	0.000
2.814	0.000
2.864	0.000
2.914	0.000
2.964	0.000
3.014	0.000
3.064	0.000
3.114	0.000
3.164	0.000
3.214	0.000
3.264	0.000
3.314	0.000
3.364	0.000
3.415	0.000
3.464	0.000
3.514	0.000
3.564	0.000
3.614	0.000
3.664	0.000
3.714	0.000
3.764	0.000
3.814	0.000
3.864	0.000
3.914	0.000
3.964	0.000
4.014	0.000
4.064	0.000
4.114	0.000
4.164	0.000
4.214	0.000
4.264	0.000
4.314	0.000
4.364	0.000
4.414	0.000
4.464	0.000
4.514	0.000
4.564	0.000
4.614	0.000
4.664	0.000
4.714	0.000
4.764	0.000
4.814	0.000
4.864	0.000
4.914	0.000
4.964	0.000
5.014	0.000
5.064	0.000
5.114	0.000
5.164	0.000
5.214	0.000
5.264	0.000
5.314	0.000
5.364	0.000
5.414	0.000
5.464	0.000
5.514	0.000
5.564	0.000
5.614	0.000
5.664	0.000
5.714	0.000
5.764	0.000
5.814	0.000
5.864	0.000
5.914	0.000
5.964	0.000
