Motion Through Fluids Experiment Thu, Feb 06, 2020 2:57 PM
Time(sec)	Position(mm)
0.024	3.955
0.124	1.768
0.174	1.222
0.224	1.222
0.274	41.134
0.324	46.601
0.374	52.615
0.424	58.630
0.474	64.644
0.524	70.111
0.574	76.125
0.624	82.140
0.674	88.154
0.724	94.168
0.774	100.182
0.824	106.196
0.874	112.210
0.924	118.225
0.974	124.239
1.024	130.253
1.074	136.267
1.124	142.828
1.175	148.842
1.224	155.403
1.274	161.417
1.325	167.978
1.374	173.992
1.424	180.553
1.474	187.114
1.524	193.129
1.574	199.143
1.624	205.704
1.674	212.265
1.724	218.279
1.774	224.840
1.824	230.854
1.874	237.415
1.924	243.429
1.974	249.990
2.024	254.911
2.074	0.000
2.124	0.000
2.174	0.000
2.224	0.000
2.274	0.000
2.325	0.000
2.374	0.000
2.424	0.000
2.474	0.000
2.524	0.000
2.574	0.000
2.624	0.000
2.674	0.000
2.724	0.000
2.774	0.000
2.824	0.000
2.874	0.000
2.924	0.000
2.974	0.000
3.024	0.000
3.074	0.000
3.124	0.000
3.174	0.000
3.224	0.000
3.275	0.000
3.324	0.000
3.374	0.000
3.424	0.000
3.474	0.000
3.524	0.000
3.574	0.000
3.624	0.000
3.674	0.000
3.724	0.000
3.774	0.000
3.824	0.000
3.874	0.000
3.924	0.000
3.974	0.000
4.025	0.000
4.074	0.000
4.124	0.000
4.175	0.000
4.224	0.000
4.274	0.000
4.324	0.000
4.374	0.000
4.425	0.000
4.474	0.000
4.525	0.000
4.574	0.000
4.624	0.000
4.674	0.000
4.724	0.000
4.774	0.000
4.824	0.000
4.874	0.000
4.924	0.000
4.974	0.000
5.024	0.000
5.075	0.000
5.125	0.000
5.174	0.000
5.224	0.000
5.274	0.000
5.324	0.000
5.374	0.000
5.425	0.000
5.474	0.000
5.524	0.000
5.574	0.000
5.624	0.000
5.674	0.000
5.724	0.000
5.774	0.000
5.824	0.000
5.874	0.000
5.924	0.000
5.974	0.000
6.024	0.000
