Motion Through Fluids Experiment Thu, Feb 06, 2020 2:57 PM
Time(sec)	Position(mm)
0.023	4.502
0.073	1.768
0.123	1.222
0.173	1.222
0.223	0.675
0.273	0.675
0.323	30.199
0.373	35.120
0.423	39.494
0.473	44.961
0.523	50.428
0.573	54.802
0.623	60.270
0.673	65.737
0.723	71.205
0.773	77.219
0.823	82.686
0.873	88.701
0.923	94.168
0.973	100.182
1.023	106.196
1.073	112.210
1.123	118.225
1.173	123.692
1.223	129.706
1.273	135.720
1.323	141.735
1.373	147.202
1.423	153.216
1.473	159.230
1.523	165.245
1.573	171.259
1.623	177.273
1.673	183.287
1.723	189.301
1.773	195.316
1.823	201.330
1.873	207.344
1.924	213.905
1.973	219.919
2.023	225.933
2.073	231.947
2.123	238.508
2.173	244.522
2.223	250.537
2.273	255.457
2.323	0.000
2.373	0.000
2.424	0.000
2.473	0.000
2.523	0.000
2.573	0.000
2.623	0.000
2.673	0.000
2.723	0.000
2.773	0.000
2.823	0.000
2.873	0.000
2.923	0.000
2.973	0.000
3.023	0.000
3.073	0.000
3.123	0.000
3.173	0.000
3.223	0.000
3.273	0.000
3.323	0.000
3.374	0.000
3.423	0.000
3.473	0.000
3.523	0.000
3.573	0.000
3.623	0.000
3.673	0.000
3.723	0.000
3.773	0.000
3.823	0.000
3.873	0.000
3.924	0.000
3.973	0.000
4.023	0.000
4.073	0.000
4.123	0.000
4.173	0.000
4.223	0.000
4.273	0.000
4.323	0.000
4.373	0.000
4.423	0.000
4.473	0.000
4.523	0.000
4.573	0.000
4.623	0.000
4.673	0.000
4.723	0.000
4.773	0.000
4.823	0.000
4.873	0.000
4.923	0.000
4.973	0.000
5.023	0.000
5.073	0.000
5.123	0.000
5.173	0.000
5.223	0.000
5.273	0.000
5.324	0.000
5.373	0.000
5.423	0.000
5.474	0.000
5.523	0.000
5.573	0.000
5.623	0.000
5.673	0.000
5.723	0.000
5.773	0.000
5.823	0.000
5.873	0.000
5.923	0.000
5.973	0.000
