Motion Through Fluids Experiment Thu, Feb 06, 2020 2:54 PM
Time(sec)	Position(mm)
0.004	2.315
0.104	3.409
0.154	3.955
0.204	3.409
0.254	3.955
0.304	3.409
0.354	3.409
0.404	2.315
0.454	39.494
0.504	44.961
0.554	50.428
0.604	56.443
0.654	61.910
0.704	67.924
0.754	73.392
0.804	78.859
0.854	84.327
0.904	89.794
0.954	95.808
1.004	101.822
1.054	107.290
1.104	113.304
1.154	119.318
1.204	125.332
1.254	131.347
1.304	137.907
1.354	143.375
1.404	149.389
1.454	155.403
1.504	161.417
1.554	167.432
1.604	173.446
1.654	179.460
1.704	185.474
1.754	191.488
1.804	197.502
1.854	204.063
1.904	210.078
1.954	216.092
2.004	222.106
2.054	228.667
2.104	234.681
2.154	241.242
2.204	247.256
2.254	253.270
2.304	0.000
2.354	0.000
2.404	0.000
2.454	0.000
2.504	0.000
2.554	0.000
2.604	0.000
2.654	0.000
2.704	0.000
2.754	0.000
2.804	0.000
2.854	0.000
2.904	0.000
2.954	0.000
3.004	0.000
3.054	0.000
3.104	0.000
3.154	0.000
3.204	0.000
3.254	0.000
3.304	0.000
3.354	0.000
3.404	0.000
3.454	0.000
3.504	0.000
3.554	0.000
3.604	0.000
3.654	0.000
3.704	0.000
3.754	0.000
3.804	0.000
3.854	0.000
3.904	0.000
3.954	0.000
4.004	0.000
4.054	0.000
4.104	0.000
4.154	0.000
4.204	0.000
4.254	0.000
4.304	0.000
4.354	0.000
4.404	0.000
4.454	0.000
4.504	0.000
4.554	0.000
4.604	0.000
4.655	0.000
4.704	0.000
4.754	0.000
4.804	0.000
4.854	0.000
4.904	0.000
4.954	0.000
5.004	0.000
5.054	0.000
5.104	0.000
5.154	0.000
5.204	0.000
5.254	0.000
5.304	0.000
5.354	0.000
5.404	0.000
5.454	0.000
5.504	0.000
5.569	0.000
5.604	0.000
5.654	0.000
5.704	0.000
5.754	0.000
5.804	0.000
5.854	0.000
5.904	0.000
5.954	0.000
6.004	0.000
