Motion Through Fluids Experiment Thu, Feb 06, 2020 3:03 PM
Time(sec)	Position(mm)
0.040	1.222
0.090	27.465
0.140	31.839
0.191	36.760
0.240	41.681
0.291	46.601
0.340	51.522
0.390	56.443
0.440	61.363
0.490	66.831
0.540	71.751
0.590	77.219
0.641	82.140
0.690	87.607
0.740	93.074
0.790	98.542
0.840	104.009
0.890	109.477
0.940	114.944
0.990	120.412
1.040	125.879
1.090	131.347
1.140	136.814
1.190	142.828
1.240	148.296
1.290	153.763
1.340	159.777
1.390	165.245
1.440	171.259
1.490	176.726
1.540	182.740
1.590	188.755
1.640	194.222
1.690	200.236
1.740	205.704
1.790	211.718
1.840	217.185
1.890	223.199
1.940	228.667
1.990	233.588
2.040	239.055
2.091	245.616
2.140	250.537
2.190	254.911
2.240	0.000
2.290	0.000
2.340	0.000
2.390	0.000
2.440	0.000
2.490	0.000
2.540	0.000
2.590	0.000
2.640	0.000
2.690	0.000
2.741	0.000
2.790	0.000
2.840	0.000
2.890	0.000
2.940	0.000
2.990	0.000
3.040	0.000
3.090	0.000
3.140	0.000
3.190	0.000
3.240	0.000
3.290	0.000
3.340	0.000
3.390	0.000
3.440	0.000
3.490	0.000
3.540	0.000
3.590	0.000
3.640	0.000
3.690	0.000
3.740	0.000
3.790	0.000
3.840	0.000
3.891	0.000
3.940	0.000
3.990	0.000
4.040	0.000
4.090	0.000
4.140	0.000
4.190	0.000
4.240	0.000
4.290	0.000
4.340	0.000
4.390	0.000
4.440	0.000
4.490	0.000
4.540	0.000
4.590	0.000
4.640	0.000
4.690	0.000
4.741	0.000
4.790	0.000
4.840	0.000
4.890	0.000
4.940	0.000
4.990	0.000
5.040	0.000
5.090	0.000
5.140	0.000
5.190	0.000
5.240	0.000
5.290	0.000
5.341	0.000
5.390	0.000
5.440	0.000
5.490	0.000
5.540	0.000
5.590	0.000
5.640	0.000
5.690	0.000
5.740	0.000
5.790	0.000
5.840	0.000
5.890	0.000
5.941	0.000
5.990	0.000
