Motion Through Fluids Experiment Thu, Feb 06, 2020 3:03 PM
Time(sec)	Position(mm)
0.038	4.502
0.138	3.409
0.188	4.502
0.238	1.222
0.288	1.768
0.338	0.675
0.388	18.171
0.438	22.545
0.488	26.918
0.538	31.839
0.588	36.213
0.638	40.587
0.688	45.508
0.738	50.428
0.788	55.896
0.839	60.817
0.888	65.737
0.938	71.205
0.988	76.672
1.038	82.140
1.088	87.607
1.138	91.981
1.188	97.995
1.238	104.009
1.288	108.383
1.338	113.851
1.388	119.318
1.438	124.239
1.488	129.706
1.538	135.174
1.588	140.641
1.638	146.109
1.688	151.029
1.738	156.497
1.788	161.964
1.838	167.432
1.888	172.899
1.938	178.366
1.988	183.834
2.038	189.301
2.088	194.769
2.138	200.236
2.188	205.704
2.238	211.171
2.288	216.638
2.338	222.106
2.388	228.120
2.438	233.588
2.488	239.055
2.538	244.522
2.588	249.990
2.638	254.911
2.689	0.000
2.738	0.000
2.788	0.000
2.838	0.000
2.888	0.000
2.938	0.000
2.988	0.000
3.038	0.000
3.088	0.000
3.138	0.000
3.188	0.000
3.238	0.000
3.288	0.000
3.338	0.000
3.388	0.000
3.438	0.000
3.488	0.000
3.538	0.000
3.588	0.000
3.638	0.000
3.688	0.000
3.738	0.000
3.788	0.000
3.838	0.000
3.888	0.000
3.938	0.000
3.988	0.000
4.038	0.000
4.088	0.000
4.138	0.000
4.188	0.000
4.238	0.000
4.288	0.000
4.338	0.000
4.388	0.000
4.438	0.000
4.488	0.000
4.538	0.000
4.588	0.000
4.638	0.000
4.688	0.000
4.738	0.000
4.788	0.000
4.838	0.000
4.888	0.000
4.938	0.000
4.988	0.000
5.038	0.000
5.088	0.000
5.138	0.000
5.188	0.000
5.238	0.000
5.288	0.000
5.338	0.000
5.388	0.000
5.438	0.000
5.488	0.000
5.538	0.000
5.588	0.000
5.638	0.000
5.688	0.000
5.738	0.000
5.788	0.000
5.838	0.000
5.888	0.000
5.938	0.000
5.988	0.000
6.038	0.000
