Motion Through Fluids Experiment Thu, Feb 06, 2020 3:04 PM
Time(sec)	Position(mm)
0.020	2.315
0.120	24.732
0.170	29.652
0.220	35.120
0.270	40.587
0.320	45.508
0.370	50.975
0.421	56.443
0.470	62.457
0.520	67.924
0.570	73.392
0.620	78.859
0.670	84.873
0.720	90.341
0.770	95.808
0.820	101.276
0.870	106.743
0.920	112.210
0.970	117.678
1.020	123.692
1.070	129.160
1.120	134.627
1.170	140.094
1.221	146.109
1.270	151.576
1.320	157.590
1.371	163.058
1.420	169.072
1.470	174.539
1.520	180.553
1.570	186.021
1.620	191.488
1.670	197.502
1.720	202.970
1.770	208.984
1.821	214.452
1.870	219.919
1.920	225.933
1.970	231.401
2.020	237.415
2.070	242.882
2.120	248.896
2.170	254.364
2.220	0.000
2.270	0.000
2.320	0.000
2.370	0.000
2.420	0.000
2.470	0.000
2.520	0.000
2.570	0.000
2.620	0.000
2.670	0.000
2.720	0.000
2.770	0.000
2.820	0.000
2.870	0.000
2.920	0.000
2.970	0.000
3.020	0.000
3.070	0.000
3.120	0.000
3.170	0.000
3.220	0.000
3.270	0.000
3.320	0.000
3.370	0.000
3.420	0.000
3.470	0.000
3.520	0.000
3.570	0.000
3.620	0.000
3.670	0.000
3.720	0.000
3.770	0.000
3.820	0.000
3.870	0.000
3.920	0.000
3.970	0.000
4.020	0.000
4.070	0.000
4.120	0.000
4.170	0.000
4.220	0.000
4.270	0.000
4.321	0.000
4.370	0.000
4.420	0.000
4.470	0.000
4.520	0.000
4.570	0.000
4.620	0.000
4.670	0.000
4.720	0.000
4.770	0.000
4.820	0.000
4.870	0.000
4.920	0.000
4.970	0.000
5.020	0.000
5.070	0.000
5.120	0.000
5.170	0.000
5.220	0.000
5.270	0.000
5.320	0.000
5.370	0.000
5.420	0.000
5.470	0.000
5.520	0.000
5.570	0.000
5.620	0.000
5.670	0.000
5.720	0.000
5.770	0.000
5.820	0.000
5.870	0.000
5.920	0.000
5.970	0.000
6.020	0.000
