Motion Through Fluids Experiment Thu, Feb 06, 2020 3:05 PM
Time(sec)	Position(mm)
0.002	22.545
0.102	31.839
0.153	36.213
0.202	41.134
0.252	46.055
0.302	50.975
0.352	55.896
0.402	60.817
0.452	65.737
0.502	70.658
0.553	75.579
0.602	80.499
0.652	85.420
0.702	90.341
0.752	95.261
0.802	100.182
0.852	105.650
0.902	110.570
0.952	115.491
1.002	120.412
1.052	125.332
1.102	130.253
1.152	135.174
1.202	140.094
1.252	145.562
1.302	150.483
1.352	155.403
1.402	159.777
1.452	165.245
1.502	170.165
1.552	175.633
1.602	180.553
1.652	185.474
1.702	190.942
1.752	195.862
1.802	201.330
1.852	206.250
1.902	211.718
1.952	216.638
2.002	222.106
2.052	227.573
2.102	232.494
2.152	237.415
2.202	242.882
2.252	248.350
2.302	253.270
2.352	0.000
2.402	0.000
2.452	0.000
2.502	0.000
2.552	0.000
2.602	0.000
2.652	0.000
2.702	0.000
2.753	0.000
2.802	0.000
2.852	0.000
2.903	0.000
2.952	0.000
3.002	0.000
3.052	0.000
3.102	0.000
3.152	0.000
3.202	0.000
3.252	0.000
3.302	0.000
3.352	0.000
3.402	0.000
3.452	0.000
3.502	0.000
3.553	0.000
3.602	0.000
3.653	0.000
3.702	0.000
3.752	0.000
3.803	0.000
3.852	0.000
3.902	0.000
3.952	0.000
4.002	0.000
4.052	0.000
4.102	0.000
4.152	0.000
4.202	0.000
4.252	0.000
4.302	0.000
4.352	0.000
4.402	0.000
4.452	0.000
4.502	0.000
4.552	0.000
4.602	0.000
4.652	0.000
4.702	0.000
4.752	0.000
4.802	0.000
4.852	0.000
4.902	0.000
4.952	0.000
5.002	0.000
5.052	0.000
5.102	0.000
5.152	0.000
5.202	0.000
5.252	0.000
5.302	0.000
5.352	0.000
5.402	0.000
5.452	0.000
5.502	0.000
5.552	0.000
5.602	0.000
5.652	0.000
5.703	0.000
5.752	0.000
5.802	0.000
5.852	0.000
5.902	0.000
5.952	0.000
6.002	0.000
