Motion Through Fluids Experiment Thu, Feb 06, 2020 3:08 PM
Time(sec)	Position(mm)
0.017	3.955
0.067	3.955
0.117	2.862
0.168	4.502
0.217	3.955
0.267	3.955
0.317	3.955
0.367	3.409
0.417	2.862
0.467	2.315
0.517	1.768
0.567	53.162
0.617	57.536
0.667	61.910
0.717	66.831
0.767	71.205
0.817	76.125
0.867	80.499
0.917	85.420
0.967	90.341
1.017	94.715
1.067	99.635
1.117	104.556
1.168	109.477
1.217	113.851
1.267	118.771
1.318	123.692
1.367	128.066
1.417	132.987
1.467	137.361
1.517	142.281
1.567	147.202
1.617	152.123
1.667	155.950
1.717	160.871
1.767	166.338
1.817	170.165
1.867	175.086
1.917	180.007
1.967	184.381
2.017	189.301
2.067	194.222
2.117	198.596
2.167	203.517
2.217	208.437
2.267	212.811
2.317	217.732
2.367	222.653
2.417	227.573
2.467	232.494
2.517	236.868
2.567	241.789
2.617	246.709
2.667	251.083
2.717	255.457
2.767	0.000
2.817	0.000
2.867	0.000
2.917	0.000
2.967	0.000
3.017	0.000
3.067	0.000
3.117	0.000
3.167	0.000
3.217	0.000
3.267	0.000
3.317	0.000
3.367	0.000
3.417	0.000
3.467	0.000
3.517	0.000
3.567	0.000
3.617	0.000
3.667	0.000
3.717	0.000
3.767	0.000
3.817	0.000
3.867	0.000
3.917	0.000
3.967	0.000
4.017	0.000
4.067	0.000
4.117	0.000
4.167	0.000
4.217	0.000
4.267	0.000
4.317	0.000
4.368	0.000
4.418	0.000
4.467	0.000
4.517	0.000
4.567	0.000
4.617	0.000
4.667	0.000
4.717	0.000
4.767	0.000
4.817	0.000
4.867	0.000
4.917	0.000
4.967	0.000
5.017	0.000
5.067	0.000
5.117	0.000
5.167	0.000
5.217	0.000
5.267	0.000
5.317	0.000
5.367	0.000
5.417	0.000
5.467	0.000
5.517	0.000
5.567	0.000
5.617	0.000
5.668	0.000
5.717	0.000
5.767	0.000
5.817	0.000
5.867	0.000
5.917	0.000
5.967	0.000
