Motion Through Fluids Experiment Thu, Feb 06, 2020 3:06 PM
Time(sec)	Position(mm)
0.017	32.933
0.067	36.760
0.117	40.587
0.167	44.961
0.217	49.335
0.267	53.709
0.317	58.083
0.367	62.457
0.418	66.831
0.467	71.205
0.517	75.579
0.567	79.953
0.617	84.327
0.667	88.701
0.718	93.074
0.767	97.448
0.817	102.369
0.867	106.743
0.918	111.117
0.967	115.491
1.017	119.865
1.067	124.786
1.117	129.160
1.167	133.533
1.217	137.907
1.267	142.828
1.317	147.202
1.367	151.576
1.417	155.950
1.467	160.871
1.517	164.698
1.567	169.072
1.617	174.539
1.667	178.913
1.717	183.287
1.767	187.114
1.817	192.035
1.867	196.409
1.918	201.330
1.967	205.157
2.017	209.531
2.067	213.905
2.117	218.279
2.167	222.653
2.217	227.027
2.267	231.401
2.317	236.321
2.367	240.695
2.417	245.069
2.467	249.443
2.517	253.817
2.567	0.000
2.617	0.000
2.667	0.000
2.717	0.000
2.767	0.000
2.817	0.000
2.867	0.000
2.917	0.000
2.967	0.000
3.017	0.000
3.067	0.000
3.117	0.000
3.167	0.000
3.217	0.000
3.267	0.000
3.318	0.000
3.367	0.000
3.417	0.000
3.467	0.000
3.517	0.000
3.567	0.000
3.617	0.000
3.667	0.000
3.717	0.000
3.767	0.000
3.817	0.000
3.867	0.000
3.917	0.000
3.968	0.000
4.017	0.000
4.067	0.000
4.117	0.000
4.167	0.000
4.217	0.000
4.267	0.000
4.317	0.000
4.367	0.000
4.417	0.000
4.467	0.000
4.517	0.000
4.567	0.000
4.617	0.000
4.667	0.000
4.717	0.000
4.767	0.000
4.817	0.000
4.867	0.000
4.917	0.000
4.967	0.000
5.017	0.000
5.067	0.000
5.117	0.000
5.167	0.000
5.217	0.000
5.267	0.000
5.317	0.000
5.367	0.000
5.417	0.000
5.467	0.000
5.517	0.000
5.567	0.000
5.617	0.000
5.667	0.000
5.717	0.000
5.767	0.000
5.817	0.000
5.867	0.000
5.917	0.000
5.967	0.000
