Motion Through Fluids Experiment Thu, Feb 06, 2020 3:07 PM
Time(sec)	Position(mm)
0.010	6.689
0.110	7.236
0.160	6.689
0.210	6.689
0.260	6.689
0.310	6.142
0.360	6.689
0.410	5.049
0.460	3.955
0.510	3.955
0.560	3.409
0.610	1.768
0.660	2.862
0.710	1.768
0.760	2.862
0.810	32.933
0.860	37.307
0.910	41.681
0.960	46.601
1.010	50.975
1.060	55.349
1.110	60.270
1.160	65.191
1.210	69.564
1.260	74.485
1.310	79.406
1.360	83.780
1.410	88.154
1.460	93.074
1.510	97.995
1.560	101.822
1.610	106.743
1.660	111.117
1.710	116.038
1.760	120.958
1.810	125.332
1.860	130.253
1.910	135.174
1.960	140.094
2.010	144.468
2.060	149.389
2.110	154.310
2.160	159.230
2.210	163.604
2.260	168.525
2.310	173.446
2.360	178.366
2.410	183.287
2.460	187.661
2.510	192.582
2.560	197.502
2.610	202.423
2.660	207.344
2.711	212.265
2.760	217.185
2.810	221.559
2.860	226.480
2.910	231.401
2.960	236.321
3.010	241.242
3.061	246.163
3.110	251.083
3.160	254.911
3.210	0.000
3.260	0.000
3.310	0.000
3.360	0.000
3.410	0.000
3.461	0.000
3.510	0.000
3.560	0.000
3.610	0.000
3.660	0.000
3.710	0.000
3.760	0.000
3.810	0.000
3.860	0.000
3.910	0.000
3.961	0.000
4.010	0.000
4.060	0.000
4.110	0.000
4.160	0.000
4.210	0.000
4.260	0.000
4.311	0.000
4.360	0.000
4.410	0.000
4.460	0.000
4.510	0.000
4.560	0.000
4.610	0.000
4.660	0.000
4.710	0.000
4.760	0.000
4.810	0.000
4.860	0.000
4.910	0.000
4.960	0.000
5.010	0.000
5.060	0.000
5.110	0.000
5.161	0.000
5.210	0.000
5.261	0.000
5.310	0.000
5.360	0.000
5.410	0.000
5.460	0.000
5.510	0.000
5.561	0.000
5.610	0.000
5.660	0.000
5.710	0.000
5.760	0.000
5.810	0.000
5.860	0.000
5.910	0.000
5.960	0.000
6.010	0.000
