Motion Through Fluids Experiment Thu, Feb 06, 2020 3:06 PM
Time(sec)	Position(mm)
0.004	4.502
0.054	3.955
0.104	1.768
0.154	2.315
0.204	2.862
0.254	2.315
0.304	0.675
0.354	0.675
0.404	22.545
0.454	26.372
0.504	31.292
0.554	35.666
0.604	40.040
0.654	44.414
0.704	48.788
0.754	53.709
0.804	58.083
0.854	63.004
0.904	67.924
0.954	72.298
1.004	76.672
1.055	81.593
1.104	86.514
1.154	90.887
1.204	95.261
1.254	100.182
1.304	105.103
1.354	109.477
1.404	114.397
1.454	118.771
1.504	123.692
1.554	128.613
1.604	132.987
1.654	137.907
1.704	142.281
1.754	147.202
1.804	152.123
1.854	156.497
1.904	161.417
1.954	166.338
2.005	170.712
2.054	175.633
2.104	180.007
2.154	184.927
2.204	189.848
2.254	194.222
2.304	199.143
2.354	203.517
2.404	208.437
2.454	213.358
2.504	218.279
2.554	222.653
2.604	227.573
2.654	232.494
2.704	236.868
2.754	241.789
2.804	246.709
2.854	251.083
2.904	255.457
2.954	0.000
3.004	0.000
3.054	0.000
3.104	0.000
3.154	0.000
3.204	0.000
3.254	0.000
3.304	0.000
3.354	0.000
3.404	0.000
3.454	0.000
3.504	0.000
3.554	0.000
3.604	0.000
3.654	0.000
3.704	0.000
3.754	0.000
3.804	0.000
3.854	0.000
3.904	0.000
3.954	0.000
4.004	0.000
4.054	0.000
4.104	0.000
4.154	0.000
4.204	0.000
4.254	0.000
4.304	0.000
4.354	0.000
4.404	0.000
4.454	0.000
4.504	0.000
4.554	0.000
4.604	0.000
4.654	0.000
4.704	0.000
4.754	0.000
4.804	0.000
4.854	0.000
4.904	0.000
4.954	0.000
5.004	0.000
5.054	0.000
5.104	0.000
5.154	0.000
5.204	0.000
5.254	0.000
5.304	0.000
5.354	0.000
5.404	0.000
5.454	0.000
5.504	0.000
5.554	0.000
5.604	0.000
5.654	0.000
5.705	0.000
5.754	0.000
5.804	0.000
5.854	0.000
5.904	0.000
5.954	0.000
