Motion Through Fluids Experiment Thu, Feb 06, 2020 3:07 PM
Time(sec)	Position(mm)
0.047	3.409
0.097	3.409
0.147	3.409
0.197	3.409
0.247	2.862
0.297	2.315
0.347	2.315
0.397	0.675
0.447	8.329
0.497	11.610
0.547	15.437
0.597	19.264
0.647	23.638
0.697	28.012
0.747	32.386
0.797	36.760
0.847	41.681
0.897	46.055
0.947	49.882
0.997	53.162
1.047	56.443
1.097	59.176
1.147	61.910
1.197	65.737
1.247	69.018
1.297	73.392
1.347	77.219
1.397	81.593
1.447	85.967
1.497	90.341
1.547	94.715
1.597	99.089
1.647	103.463
1.697	107.837
1.747	112.757
1.797	117.131
1.847	122.052
1.897	126.426
1.947	131.347
1.997	135.720
2.047	140.641
2.097	145.562
2.147	149.936
2.197	154.856
2.247	159.777
2.297	164.151
2.347	169.072
2.397	173.992
2.448	178.913
2.497	183.287
2.547	188.208
2.597	193.129
2.647	198.049
2.697	202.970
2.747	207.344
2.797	212.265
2.847	217.185
2.897	222.106
2.947	227.027
2.997	231.401
3.047	236.321
3.097	241.242
3.147	246.163
3.197	251.083
3.247	254.911
3.297	0.000
3.347	0.000
3.397	0.000
3.447	0.000
3.497	0.000
3.548	0.000
3.597	0.000
3.647	0.000
3.697	0.000
3.747	0.000
3.797	0.000
3.847	0.000
3.897	0.000
3.948	0.000
3.997	0.000
4.047	0.000
4.097	0.000
4.147	0.000
4.197	0.000
4.247	0.000
4.297	0.000
4.348	0.000
4.397	0.000
4.447	0.000
4.497	0.000
4.547	0.000
4.597	0.000
4.648	0.000
4.697	0.000
4.747	0.000
4.797	0.000
4.847	0.000
4.897	0.000
4.947	0.000
4.997	0.000
5.048	0.000
5.097	0.000
5.147	0.000
5.197	0.000
5.247	0.000
5.297	0.000
5.347	0.000
5.397	0.000
5.447	0.000
5.497	0.000
5.547	0.000
5.597	0.000
5.647	0.000
5.697	0.000
5.747	0.000
5.797	0.000
5.847	0.000
5.897	0.000
5.947	0.000
5.997	0.000
