Motion Through Fluids Experiment Thu, Feb 06, 2020 2:59 PM
Time(sec)	Position(mm)
0.028	9.969
0.128	4.502
0.178	2.862
0.228	2.315
0.279	2.315
0.328	1.222
0.378	1.222
0.428	3.409
0.478	46.601
0.528	52.615
0.578	58.630
0.628	65.191
0.678	71.751
0.728	77.766
0.778	84.327
0.828	90.887
0.879	97.995
0.929	105.103
0.978	111.664
1.028	118.771
1.078	125.332
1.128	132.440
1.178	139.548
1.228	146.655
1.278	153.763
1.328	160.871
1.378	167.978
1.428	175.086
1.478	182.740
1.528	190.395
1.578	197.502
1.628	205.704
1.678	213.358
1.728	221.012
1.778	228.667
1.828	236.321
1.878	243.976
1.929	252.177
1.978	0.000
2.028	0.000
2.078	0.000
2.128	0.000
2.178	0.000
2.228	0.000
2.278	0.000
2.328	0.000
2.378	0.000
2.428	0.000
2.478	0.000
2.528	0.000
2.578	0.000
2.628	0.000
2.678	0.000
2.728	0.000
2.778	0.000
2.828	0.000
2.878	0.000
2.928	0.000
2.978	0.000
3.028	0.000
