Motion Through Fluids Experiment Thu, Feb 06, 2020 3:01 PM
Time(sec)	Position(mm)
0.050	34.573
0.100	40.587
0.150	47.148
0.200	53.709
0.250	59.723
0.301	66.284
0.350	72.845
0.400	79.406
0.450	86.514
0.500	93.621
0.550	100.729
0.600	107.837
0.650	113.851
0.700	121.505
0.750	128.613
0.801	137.361
0.850	143.922
0.900	151.576
0.950	159.230
1.000	167.432
1.050	175.086
1.100	182.740
1.150	189.848
1.200	197.502
1.250	205.157
1.300	212.811
1.350	220.466
1.400	228.120
1.450	235.775
1.500	243.429
1.550	251.083
1.600	0.000
1.650	0.000
1.700	0.000
1.750	0.000
1.800	0.000
1.850	0.000
1.900	0.000
1.950	0.000
2.000	0.000
2.050	0.000
2.100	0.000
2.150	0.000
2.200	0.000
2.250	0.000
2.300	0.000
2.350	0.000
2.400	0.000
2.450	0.000
2.500	0.000
2.550	0.000
2.600	0.000
2.650	0.000
2.700	0.000
2.750	0.000
2.800	0.000
2.850	0.000
2.900	0.000
2.950	0.000
3.000	0.000
