Motion Through Fluids Experiment Thu, Feb 06, 2020 3:00 PM
Time(sec)	Position(mm)
0.024	3.409
0.074	2.862
0.124	2.862
0.174	2.315
0.224	1.222
0.274	2.315
0.324	22.545
0.374	28.559
0.424	35.120
0.474	41.681
0.524	48.241
0.574	54.802
0.624	61.363
0.675	67.924
0.724	75.032
0.774	82.140
0.824	89.247
0.874	96.355
0.924	103.463
0.975	110.570
1.024	117.131
1.074	124.239
1.124	132.440
1.174	139.001
1.224	146.655
1.274	153.763
1.324	161.417
1.374	169.072
1.424	176.726
1.474	184.381
1.524	192.035
1.574	199.689
1.624	207.344
1.674	214.998
1.724	222.653
1.774	230.854
1.824	238.508
1.874	246.163
1.924	253.270
1.974	0.000
2.024	0.000
2.075	0.000
2.124	0.000
2.174	0.000
2.224	0.000
2.274	0.000
2.324	0.000
2.374	0.000
2.424	0.000
2.475	0.000
2.524	0.000
2.574	0.000
2.624	0.000
2.674	0.000
2.724	0.000
2.774	0.000
2.825	0.000
2.874	0.000
2.924	0.000
2.974	0.000
