Motion Through Fluids Experiment Thu, Feb 06, 2020 2:59 PM
Time(sec)	Position(mm)
0.050	3.409
0.100	2.862
0.150	1.222
0.200	54.802
0.250	60.817
0.300	67.378
0.350	73.938
0.400	80.499
0.450	87.607
0.500	94.715
0.550	101.822
0.600	109.477
0.650	116.584
0.700	123.692
0.750	131.347
0.800	138.454
0.850	145.562
0.900	153.216
0.951	160.324
1.000	167.978
1.050	175.633
1.100	183.287
1.150	190.395
1.200	198.049
1.250	205.704
1.300	213.358
1.350	221.012
1.400	229.214
1.450	236.868
1.500	244.522
1.550	251.083
1.600	0.000
1.650	0.000
1.700	0.000
1.750	0.000
1.800	0.000
1.850	0.000
1.900	0.000
1.950	0.000
2.000	0.000
2.050	0.000
2.100	0.000
2.150	0.000
2.200	0.000
2.250	0.000
2.300	0.000
2.350	0.000
2.400	0.000
2.450	0.000
2.500	0.000
2.550	0.000
2.600	0.000
2.650	0.000
2.700	0.000
2.750	0.000
2.800	0.000
2.850	0.000
2.900	0.000
2.950	0.000
3.000	0.000
