Motion Through Fluids Experiment Thu, Feb 06, 2020 2:58 PM
Time(sec)	Position(mm)
0.025	2.315
0.075	1.222
0.125	1.222
0.175	1.768
0.225	1.768
0.275	24.732
0.325	31.292
0.375	37.853
0.425	44.414
0.475	51.522
0.525	58.630
0.575	65.737
0.625	72.845
0.675	79.953
0.725	87.060
0.775	94.715
0.825	102.369
0.875	109.477
0.925	117.131
0.975	124.786
1.025	131.893
1.075	139.548
1.125	147.202
1.175	154.310
1.225	161.964
1.275	169.619
1.325	177.273
1.375	184.927
1.425	192.035
1.475	200.783
1.525	207.891
1.575	215.545
1.625	223.746
1.675	231.401
1.725	239.602
1.776	247.803
1.825	254.364
1.875	0.000
1.925	0.000
1.975	0.000
2.025	0.000
2.075	0.000
2.126	0.000
2.175	0.000
2.225	0.000
2.275	0.000
2.325	0.000
2.375	0.000
2.425	0.000
2.475	0.000
2.525	0.000
2.575	0.000
2.626	0.000
2.675	0.000
2.725	0.000
2.775	0.000
2.825	0.000
2.875	0.000
2.925	0.000
2.975	0.000
